Date,HomeTeam,AwayTeam,FTHG,FTAG
27/09/2020,ATL,CHI,26,30
20/09/2020,CHI,NYG,17,13
13/09/2020,DET,CHI,23,27
29/12/2019,MIN,CHI,19,21
22/12/2019,CHI,KC,3,26
15/12/2019,GB,CHI,21,13
05/12/2019,CHI,DAL,31,24
28/11/2019,DET,CHI,20,24
24/11/2019,CHI,NYG,19,14
17/11/2019,LAR,CHI,17,7
10/11/2019,CHI,DET,20,13
03/11/2019,PHI,CHI,22,14
27/10/2019,CHI,LAC,16,17
20/10/2019,CHI,NO,25,36
06/10/2019,LV,CHI,24,21
29/09/2019,CHI,MIN,16,6
23/09/2019,WSH,CHI,15,31
15/09/2019,DEN,CHI,14,16
05/09/2019,CHI,GB,3,10
06/01/2019,CHI,PHI,15,16
30/12/2018,MIN,CHI,10,24
23/12/2018,SF,CHI,9,14
16/12/2018,CHI,GB,24,17
09/12/2018,CHI,LAR,15,6
02/12/2018,NYG,CHI,30,27
22/11/2018,DET,CHI,16,23
18/11/2018,CHI,MIN,25,20
11/11/2018,CHI,DET,34,22
04/11/2018,BUF,CHI,9,41
28/10/2018,CHI,NYJ,24,10
21/10/2018,CHI,NE,31,38
14/10/2018,MIA,CHI,31,28
30/09/2018,CHI,TB,48,10
23/09/2018,ARI,CHI,14,16
17/09/2018,CHI,SEA,24,17
09/09/2018,GB,CHI,24,23
31/12/2017,MIN,CHI,23,10
24/12/2017,CHI,CLE,20,3
16/12/2017,DET,CHI,20,10
10/12/2017,CIN,CHI,7,33
03/12/2017,CHI,SF,14,15
26/11/2017,PHI,CHI,31,3
19/11/2017,CHI,DET,24,27
12/11/2017,CHI,GB,16,23
29/10/2017,NO,CHI,20,12
22/10/2017,CHI,CAR,17,3
15/10/2017,BAL,CHI,24,27
09/10/2017,CHI,MIN,17,20
28/09/2017,GB,CHI,35,14
17/09/2017,TB,CHI,29,7
10/09/2017,CHI,ATL,17,23
01/01/2017,MIN,CHI,38,10
24/12/2016,CHI,WSH,21,41
18/12/2016,CHI,GB,27,30
11/12/2016,DET,CHI,20,17
04/12/2016,CHI,SF,26,6
27/11/2016,CHI,TEN,21,27
20/11/2016,NYG,CHI,22,16
13/11/2016,TB,CHI,36,10
31/10/2016,CHI,MIN,20,10
20/10/2016,GB,CHI,26,10
16/10/2016,CHI,JAX,16,17
09/10/2016,IND,CHI,29,23
02/10/2016,CHI,DET,17,14
25/09/2016,DAL,CHI,31,17
19/09/2016,CHI,PHI,14,29
11/09/2016,HOU,CHI,23,14
03/01/2016,CHI,DET,20,24
27/12/2015,TB,CHI,21,26
20/12/2015,MIN,CHI,38,17
13/12/2015,CHI,WSH,21,24
06/12/2015,CHI,SF,20,26
26/11/2015,GB,CHI,13,17
22/11/2015,CHI,DEN,15,17
15/11/2015,LAR,CHI,13,37
09/11/2015,LAC,CHI,19,22
01/11/2015,CHI,MIN,20,23
18/10/2015,DET,CHI,37,34
11/10/2015,KC,CHI,17,18
04/10/2015,CHI,LV,22,20
27/09/2015,SEA,CHI,26,0
20/09/2015,CHI,ARI,23,48
13/09/2015,CHI,GB,23,31
28/12/2014,MIN,CHI,13,9
21/12/2014,CHI,DET,14,20
15/12/2014,CHI,NO,15,31
04/12/2014,CHI,DAL,28,41
27/11/2014,DET,CHI,34,17
23/11/2014,CHI,TB,21,13
16/11/2014,CHI,MIN,21,13
09/11/2014,GB,CHI,55,14
26/10/2014,NE,CHI,51,23
19/10/2014,CHI,MIA,14,27
12/10/2014,ATL,CHI,13,27
05/10/2014,CAR,CHI,31,24
28/09/2014,CHI,GB,17,38
22/09/2014,NYJ,CHI,19,27
14/09/2014,SF,CHI,20,28
07/09/2014,CHI,BUF,20,23
29/12/2013,CHI,GB,28,33
22/12/2013,PHI,CHI,54,11
15/12/2013,CLE,CHI,31,38
09/12/2013,CHI,DAL,45,28
01/12/2013,MIN,CHI,23,20
24/11/2013,LAR,CHI,42,21
17/11/2013,CHI,BAL,23,20
10/11/2013,CHI,DET,19,21
04/11/2013,GB,CHI,20,27
20/10/2013,WSH,CHI,45,41
10/10/2013,CHI,NYG,27,21
06/10/2013,CHI,NO,18,26
29/09/2013,DET,CHI,40,32
15/09/2013,CHI,MIN,31,30
08/09/2013,CHI,CIN,24,21
30/12/2012,DET,CHI,24,26
23/12/2012,ARI,CHI,13,28
16/12/2012,CHI,GB,13,21
09/12/2012,MIN,CHI,21,14
02/12/2012,CHI,SEA,17,23
25/11/2012,CHI,MIN,28,10
19/11/2012,SF,CHI,32,7
11/11/2012,CHI,HOU,6,13
04/11/2012,TEN,CHI,20,51
28/10/2012,CHI,CAR,23,22
22/10/2012,CHI,DET,13,7
07/10/2012,JAX,CHI,3,41
01/10/2012,DAL,CHI,18,34
23/09/2012,CHI,LAR,23,6
13/09/2012,GB,CHI,23,10
09/09/2012,CHI,IND,41,21
01/01/2012,MIN,CHI,13,17
25/12/2011,GB,CHI,35,21
18/12/2011,CHI,SEA,14,38
11/12/2011,DEN,CHI,13,10
04/12/2011,CHI,KC,3,10
27/11/2011,LV,CHI,25,20
20/11/2011,CHI,LAC,31,20
13/11/2011,CHI,DET,37,13
07/11/2011,PHI,CHI,24,30
23/10/2011,TB,CHI,18,24
16/10/2011,CHI,MIN,39,10
10/10/2011,DET,CHI,24,13
02/10/2011,CHI,CAR,34,29
25/09/2011,CHI,GB,17,27
18/09/2011,NO,CHI,30,13
11/09/2011,CHI,ATL,30,12
23/01/2011,CHI,GB,14,21
16/01/2011,CHI,SEA,35,24
02/01/2011,GB,CHI,10,3
26/12/2010,CHI,NYJ,38,34
20/12/2010,MIN,CHI,14,40
12/12/2010,CHI,NE,7,36
05/12/2010,DET,CHI,20,24
28/11/2010,CHI,PHI,31,26
18/11/2010,MIA,CHI,0,16
14/11/2010,CHI,MIN,27,13
07/11/2010,BUF,CHI,19,22
24/10/2010,CHI,WSH,14,17
17/10/2010,CHI,SEA,20,23
10/10/2010,CAR,CHI,6,23
03/10/2010,NYG,CHI,17,3
27/09/2010,CHI,GB,20,17
19/09/2010,DAL,CHI,20,27
12/09/2010,CHI,DET,19,14
03/01/2010,DET,CHI,23,37
28/12/2009,CHI,MIN,36,30
20/12/2009,BAL,CHI,31,7
13/12/2009,CHI,GB,14,21
06/12/2009,CHI,LAR,17,9
29/11/2009,MIN,CHI,36,10
22/11/2009,CHI,PHI,20,24
12/11/2009,SF,CHI,10,6
08/11/2009,CHI,ARI,21,41
01/11/2009,CHI,CLE,30,6
25/10/2009,CIN,CHI,45,10
18/10/2009,ATL,CHI,21,14
04/10/2009,CHI,DET,48,24
27/09/2009,SEA,CHI,19,25
13/09/2009,GB,CHI,21,15
