Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
06/03/2011,ATL,NY,79,92,NBA_2011
27/02/2011,POR,ATL,83,90,NBA_2011
23/02/2011,PHX,ATL,105,97,NBA_2011
22/02/2011,LAL,ATL,104,80,NBA_2011
16/02/2011,NY,ATL,102,90,NBA_2011
08/02/2011,ATL,PHI,83,117,NBA_2011
05/02/2011,WSH,ATL,92,99,NBA_2011
02/02/2011,ATL,TOR,100,87,NBA_2011
29/01/2011,DAL,ATL,102,91,NBA_2011
28/01/2011,ATL,NY,111,102,NBA_2011
26/01/2011,MIL,ATL,98,90,NBA_2011
18/01/2011,MIA,ATL,89,93,NBA_2011
15/01/2011,ATL,HOU,106,112,NBA_2011
12/01/2011,TOR,ATL,101,104,NBA_2011
05/01/2011,UTAH,ATL,87,110,NBA_2011
27/12/2010,MIL,ATL,80,95,NBA_2011
22/12/2010,ATL,CLE,98,84,NBA_2011
20/12/2010,ATL,ORL,91,81,NBA_2011
19/12/2010,BKN,ATL,89,82,NBA_2011
16/12/2010,BOS,ATL,102,90,NBA_2011
10/12/2010,SA,ATL,108,92,NBA_2011
07/12/2010,ATL,BKN,116,101,NBA_2011
06/12/2010,ORL,ATL,74,80,NBA_2011
04/12/2010,MIA,ATL,89,77,NBA_2011
03/12/2010,ATL,PHI,93,88,NBA_2011
01/12/2010,ATL,MEM,112,109,NBA_2011
28/11/2010,TOR,ATL,78,96,NBA_2011
27/11/2010,NY,ATL,90,99,NBA_2011
25/11/2010,ATL,WSH,116,96,NBA_2011
23/11/2010,BKN,ATL,107,101,NBA_2011
22/11/2010,ATL,BOS,76,99,NBA_2011
20/11/2010,ATL,DAL,93,98,NBA_2011
14/11/2010,ATL,MIN,111,105,NBA_2011
12/11/2010,ATL,UTAH,86,90,NBA_2011
10/11/2010,ATL,MIL,91,108,NBA_2011
08/11/2010,ORL,ATL,93,89,NBA_2011
07/11/2010,ATL,PHX,114,118,NBA_2011
05/11/2010,MIN,ATL,103,113,NBA_2011
02/11/2010,CLE,ATL,88,100,NBA_2011
30/10/2010,ATL,WSH,99,95,NBA_2011
29/10/2010,PHI,ATL,101,104,NBA_2011
27/10/2010,MEM,ATL,104,119,NBA_2011
10/05/2010,ATL,ORL,84,98,NBA_2010
08/05/2010,ATL,ORL,75,105,NBA_2010
06/05/2010,ORL,ATL,112,98,NBA_2010
04/05/2010,ORL,ATL,114,71,NBA_2010
02/05/2010,ATL,MIL,95,74,NBA_2010
30/04/2010,MIL,ATL,69,83,NBA_2010
28/04/2010,ATL,MIL,87,91,NBA_2010
26/04/2010,MIL,ATL,111,104,NBA_2010
24/04/2010,MIL,ATL,107,89,NBA_2010
20/04/2010,ATL,MIL,96,86,NBA_2010
17/04/2010,ATL,MIL,102,92,NBA_2010
14/04/2010,ATL,CLE,99,83,NBA_2010
12/04/2010,MIL,ATL,96,104,NBA_2010
10/04/2010,WSH,ATL,95,105,NBA_2010
09/04/2010,ATL,TOR,107,101,NBA_2010
02/04/2010,CLE,ATL,93,88,NBA_2010
31/03/2010,ATL,LAL,109,92,NBA_2010
26/03/2010,PHI,ATL,105,98,NBA_2010
24/03/2010,ATL,ORL,86,84,NBA_2010
22/03/2010,MIL,ATL,98,95,NBA_2010
21/03/2010,ATL,SA,119,114,NBA_2010
17/03/2010,TOR,ATL,106,105,NBA_2010
16/03/2010,BKN,ATL,84,108,NBA_2010
11/03/2010,WSH,ATL,99,105,NBA_2010
08/03/2010,NY,ATL,99,98,NBA_2010
06/03/2010,MIA,ATL,100,94,NBA_2010
03/03/2010,ATL,PHI,112,93,NBA_2010
28/02/2010,ATL,MIL,106,102,NBA_2010
26/02/2010,ATL,DAL,103,111,NBA_2010
24/02/2010,ATL,MIN,98,92,NBA_2010
22/02/2010,UTAH,ATL,100,105,NBA_2010
19/02/2010,PHX,ATL,88,80,NBA_2010
10/02/2010,ATL,MIA,76,94,NBA_2010
09/02/2010,MEM,ATL,94,108,NBA_2010
30/01/2010,ORL,ATL,104,86,NBA_2010
29/01/2010,ATL,BOS,100,91,NBA_2010
27/01/2010,SA,ATL,105,90,NBA_2010
25/01/2010,HOU,ATL,95,102,NBA_2010
15/01/2010,ATL,PHX,102,101,NBA_2010
13/01/2010,ATL,WSH,94,82,NBA_2010
11/01/2010,BOS,ATL,96,102,NBA_2010
09/01/2010,ORL,ATL,113,81,NBA_2010
08/01/2010,ATL,BOS,93,85,NBA_2010
06/01/2010,ATL,BKN,119,89,NBA_2010
04/01/2010,MIA,ATL,92,75,NBA_2010
01/01/2010,ATL,NY,108,112,NBA_2010
30/12/2009,CLE,ATL,106,101,NBA_2010
29/12/2009,ATL,CLE,84,95,NBA_2010
22/12/2009,MIN,ATL,87,112,NBA_2010
18/12/2009,ATL,UTAH,96,83,NBA_2010
16/12/2009,ATL,MEM,110,97,NBA_2010
13/12/2009,ATL,BKN,130,107,NBA_2010
11/12/2009,TOR,ATL,89,111,NBA_2010
05/12/2009,DAL,ATL,75,80,NBA_2010
04/12/2009,ATL,NY,107,114,NBA_2010
02/12/2009,ATL,TOR,146,115,NBA_2010
27/11/2009,PHI,ATL,86,100,NBA_2010
26/11/2009,ATL,ORL,76,93,NBA_2010
20/11/2009,ATL,HOU,105,103,NBA_2010
18/11/2009,ATL,MIA,105,90,NBA_2010
16/11/2009,ATL,POR,99,95,NBA_2010
13/11/2009,BOS,ATL,86,97,NBA_2010
