Date,HomeTeam,AwayTeam,FTHG,FTAG
20/01/2012,DAL,TB,1,2
17/01/2012,TB,BOS,5,3
13/01/2012,WSH,TB,4,3
10/01/2012,TB,VAN,4,5
07/01/2012,MTL,TB,3,1
05/01/2012,OTT,TB,4,1
03/01/2012,TOR,TB,7,3
29/12/2011,TB,MTL,4,3
27/12/2011,TB,PHI,5,1
23/12/2011,COL,TB,2,1
17/12/2011,CBJ,TB,2,3
12/12/2011,TB,NJ,4,5
10/12/2011,PHI,TB,5,2
08/12/2011,NYR,TB,2,3
06/12/2011,NYI,TB,5,1
05/12/2011,OTT,TB,4,2
03/12/2011,TB,NYR,2,4
28/11/2011,MIN,TB,3,1
26/11/2011,TB,FLA,5,1
25/11/2011,FLA,TB,1,2
22/11/2011,TB,TOR,1,7
19/11/2011,TB,NJ,2,4
14/11/2011,WPG,TB,5,2
09/11/2011,TB,PHI,2,1
06/11/2011,FLA,TB,3,4
29/10/2011,TB,WPG,1,0
27/10/2011,NSH,TB,5,3
25/10/2011,BUF,TB,3,4
22/10/2011,TB,BUF,3,0
20/10/2011,TB,NYI,4,1
17/10/2011,TB,FLA,4,7
15/10/2011,FLA,TB,3,2
13/10/2011,NYI,TB,5,1
10/10/2011,WSH,TB,6,5
08/10/2011,BOS,TB,4,1
27/05/2011,BOS,TB,1,0
25/05/2011,TB,BOS,5,4
23/05/2011,BOS,TB,3,1
21/05/2011,TB,BOS,5,3
19/05/2011,TB,BOS,0,2
17/05/2011,BOS,TB,6,5
14/05/2011,BOS,TB,2,5
04/05/2011,TB,WSH,5,3
03/05/2011,TB,WSH,4,3
01/05/2011,WSH,TB,2,3
29/04/2011,WSH,TB,2,4
08/04/2011,TB,FLA,4,2
05/04/2011,BUF,TB,4,2
02/04/2011,MIN,TB,1,3
29/03/2011,TB,OTT,5,2
22/03/2011,TB,NYI,2,5
19/03/2011,OTT,TB,3,2
17/03/2011,MTL,TB,3,2
14/03/2011,TOR,TB,2,6
12/03/2011,FLA,TB,4,3
11/03/2011,TB,OTT,1,2
07/03/2011,TB,WSH,1,2
05/03/2011,TB,MTL,2,4
03/03/2011,BOS,TB,2,1
02/03/2011,NJ,TB,2,1
27/02/2011,NYR,TB,1,2
25/02/2011,TB,NJ,2,1
19/02/2011,TB,FLA,2,3
15/02/2011,TB,PHI,3,4
08/02/2011,TB,BUF,4,7
04/02/2011,TB,WSH,2,5
01/02/2011,TB,PHI,4,0
25/01/2011,TB,TOR,2,0
23/01/2011,TB,WPG,7,1
21/01/2011,FLA,TB,1,2
20/01/2011,WPG,TB,2,3
18/01/2011,TB,CBJ,3,2
14/01/2011,TB,NJ,2,5
12/01/2011,TB,WSH,3,0
09/01/2011,NJ,TB,6,3
08/01/2011,OTT,TB,1,2
04/01/2011,WSH,TB,0,1
01/01/2011,TB,NYR,2,1
30/12/2010,TB,MTL,4,1
28/12/2010,TB,BOS,3,4
26/12/2010,WPG,TB,2,3
23/12/2010,NYR,TB,3,4
22/12/2010,NYI,TB,2,1
18/12/2010,TB,BUF,3,1
15/12/2010,TB,WPG,2,1
11/12/2010,VAN,TB,4,5
10/12/2010,EDM,TB,4,3
04/12/2010,TB,COL,6,5
02/12/2010,BOS,TB,8,1
30/11/2010,TOR,TB,3,4
27/11/2010,TB,FLA,3,4
26/11/2010,WSH,TB,6,0
24/11/2010,TB,NYR,5,3
22/11/2010,TB,BOS,3,1
20/11/2010,BUF,TB,1,2
18/11/2010,PHI,TB,7,8
17/11/2010,NYI,TB,2,4
14/11/2010,TB,MIN,1,4
11/11/2010,WSH,TB,6,3
09/11/2010,TB,TOR,4,0
04/11/2010,LA,TB,1,0
24/10/2010,TB,NSH,3,4
22/10/2010,WPG,TB,2,5
21/10/2010,TB,NYI,2,3
18/10/2010,TB,DAL,5,4
16/10/2010,FLA,TB,6,0
14/10/2010,PHI,TB,2,3
13/10/2010,MTL,TB,3,4
09/10/2010,TB,WPG,5,3
11/04/2010,FLA,TB,1,3
10/04/2010,TB,FLA,4,3
08/04/2010,TB,OTT,4,3
02/04/2010,TB,NYR,0,5
30/03/2010,CBJ,TB,3,2
27/03/2010,BUF,TB,7,1
25/03/2010,BOS,TB,3,5
21/03/2010,FLA,TB,5,2
20/03/2010,TB,WSH,1,3
18/03/2010,TB,BUF,2,6
12/03/2010,WSH,TB,2,3
11/03/2010,TOR,TB,4,3
09/03/2010,MTL,TB,5,3
06/03/2010,TB,WPG,6,2
04/03/2010,WSH,TB,5,4
02/03/2010,TB,PHI,2,7
14/02/2010,NYR,TB,5,2
13/02/2010,NYI,TB,5,4
11/02/2010,TB,BOS,4,5
09/02/2010,TB,VAN,3,1
04/02/2010,TB,NYI,5,2
02/02/2010,WPG,TB,1,2
31/01/2010,WSH,TB,3,2
27/01/2010,TB,MTL,3,0
23/01/2010,TB,WPG,2,1
21/01/2010,TB,TOR,3,2
19/01/2010,NYR,TB,8,2
16/01/2010,FLA,TB,5,2
14/01/2010,TB,FLA,2,3
12/01/2010,TB,WSH,7,4
10/01/2010,NJ,TB,2,4
09/01/2010,PHI,TB,4,1
06/01/2010,BUF,TB,5,3
30/12/2009,TB,MTL,1,2
28/12/2009,TB,BOS,2,1
26/12/2009,TB,WPG,4,3
23/12/2009,TB,PHI,2,5
21/12/2009,NYI,TB,2,4
15/12/2009,NSH,TB,7,4
11/12/2009,COL,TB,2,1
09/12/2009,TB,EDM,2,3
07/12/2009,TB,WSH,0,3
05/12/2009,TB,NYI,4,0
04/12/2009,NJ,TB,3,2
02/12/2009,BOS,TB,4,1
30/11/2009,TB,COL,0,3
28/11/2009,DAL,TB,4,3
27/11/2009,TB,NYR,5,1
25/11/2009,TB,TOR,3,4
22/11/2009,WPG,TB,3,4
14/11/2009,TB,LA,1,2
12/11/2009,TB,MIN,4,3
07/11/2009,MTL,TB,1,3
05/11/2009,OTT,TB,3,2
03/11/2009,TOR,TB,1,2
02/11/2009,PHI,TB,6,2
31/10/2009,TB,NJ,1,2
29/10/2009,TB,OTT,5,2
24/10/2009,TB,BUF,2,3
15/10/2009,OTT,TB,7,1
12/10/2009,TB,FLA,3,2
08/10/2009,TB,NJ,3,4
03/10/2009,WPG,TB,6,3
11/04/2009,WPG,TB,6,2
09/04/2009,TB,WSH,2,4
04/04/2009,NYI,TB,3,1
03/04/2009,NJ,TB,5,4
31/03/2009,BOS,TB,3,1
29/03/2009,TB,OTT,0,3
27/03/2009,WSH,TB,5,3
26/03/2009,MTL,TB,3,2
24/03/2009,TB,CBJ,2,1
21/03/2009,TB,WPG,3,4
19/03/2009,TB,WSH,2,5
