season,bin,n,favorite_roi,underdog_roi
MLB_2008,0,22,-0.2782057594712882,0.3754545454545455
MLB_2008,1,17,-0.3672539232722881,0.5752941176470587
MLB_2008,2,71,-0.0779595668325278,0.08971830985915497
MLB_2008,3,309,-0.17919434586822625,0.21365695792880257
MLB_2008,4,733,-0.1397710812470485,0.2297953615279673
MLB_2008,5,700,-0.039248303099317705,-0.015614285714285692
MLB_2008,6,338,0.031105824391358894,-0.15281065088757395
MLB_2008,7,67,0.0172196735599619,-0.1628358208955224
MLB_2008,8,12,0.041712339039022606,-0.01416666666666666
MLB_2008,9,8,-0.370531866203898,0.41375000000000006
MLB_2007,0,20,0.005619635357084318,0.05400000000000005
MLB_2007,1,8,-0.11134751773049645,0.16749999999999998
MLB_2007,2,40,-0.25794314657060946,0.27174999999999994
MLB_2007,3,147,-0.2450434515881752,0.32789115646258504
MLB_2007,4,187,-0.15874771806726784,0.2781818181818181
MLB_2007,5,197,-0.04043113690180278,-0.018730964467005062
MLB_2007,6,130,-0.03505377711476276,-0.013000000000000012
MLB_2007,7,31,-0.22075401836499764,0.18419354838709667
MLB_2007,8,24,-0.1344451535982637,0.012083333333333224
MLB_2007,9,30,-0.22861662732375865,0.2513333333333334
MLB_2006,0,20,-0.3891065284887554,0.4664999999999999
MLB_2006,1,4,-0.5307017543859649,0.605
MLB_2006,2,1,0.6802721088435373,-1.0
MLB_2006,3,2,-1.0,1.225
MLB_2006,4,3,-1.0,1.3233333333333333
MLB_2006,5,1,0.6211180124223603,-1.0
MLB_2006,6,2,-0.18944099378881984,0.050000000000000044
MLB_2006,7,4,-0.5726950354609929,0.6475
MLB_2006,8,5,0.05117845117845121,0.016000000000000014
MLB_2006,9,19,0.29476913247729963,-0.4431578947368421
