season,bin,n,favorite_roi,underdog_roi
NFL_2021,3,14,0.03282868725246324,-0.13071428571428567
NFL_2021,4,14,-0.07868718398768704,0.14214285714285713
NFL_2021,5,24,-0.3306036359335459,0.6312500000000001
NFL_2021,6,22,-0.14562960788953727,0.25363636363636366
NFL_2021,7,13,-0.15900512706771275,-0.06538461538461537
NFL_2021,8,23,0.18592938588033747,-0.3804347826086957
NFL_2021,9,46,-0.11755628568508592,0.12391304347826093
NFL_2020,0,38,0.08486680043782191,-0.40921052631578947
NFL_2020,1,27,-0.15208252594702332,0.14555555555555566
NFL_2020,2,15,-0.017106565247679395,0.024666666666666615
NFL_2020,3,18,-0.3145375394316152,0.5894444444444444
NFL_2020,4,12,-0.31000983276918603,0.7383333333333333
NFL_2020,5,22,-0.059902396867005714,0.14727272727272722
NFL_2020,6,26,-0.00615240755077151,0.12807692307692298
NFL_2020,7,17,0.07099655300648489,-0.1705882352941176
NFL_2020,8,23,-0.04276229529582076,-0.05913043478260871
NFL_2020,9,43,-0.32876497495605717,0.7406976744186047
NFL_2019,0,34,-0.41567776952266156,0.5935294117647059
NFL_2019,1,19,-0.3818074245965022,0.8273684210526315
NFL_2019,2,24,-0.10439623568590894,0.15666666666666673
NFL_2019,3,20,-0.17847574635340113,0.8714999999999999
NFL_2019,4,22,-0.1874878453271156,0.5909090909090908
NFL_2019,5,23,-0.13262016960121392,0.24695652173913052
NFL_2019,6,34,-0.1563283629689356,0.09735294117647064
NFL_2019,7,20,0.17448086001514462,-0.7575000000000001
NFL_2019,8,17,0.035030659623332516,-0.13882352941176468
NFL_2019,9,30,-0.152772197770224,0.359
NFL_2018,0,33,-0.04039879840266081,-0.0015151515151514694
NFL_2018,1,31,-0.23127946876773842,0.324516129032258
NFL_2018,2,20,-0.009633090070130135,0.0129999999999999
NFL_2018,3,16,-0.1866831117514579,0.25812499999999994
NFL_2018,4,15,-0.26164018642805553,0.9119999999999999
NFL_2018,5,23,0.12132476923670787,-0.3108695652173913
NFL_2018,6,15,-0.0920914472449137,0.2846666666666666
NFL_2018,7,25,-0.012808710866162754,0.04400000000000004
NFL_2018,8,24,0.05775066553899921,-0.5770833333333334
NFL_2018,9,41,-0.11404207482961204,0.060487804878048834
NFL_2017,0,33,-0.18689002702109137,0.3490909090909091
NFL_2017,1,33,-0.11273908972861779,0.14636363636363647
NFL_2017,2,23,-0.04509159210566016,0.1804347826086956
NFL_2017,3,18,-0.2478792804726615,0.5472222222222223
NFL_2017,4,16,-0.24897559193459373,0.40437499999999993
NFL_2017,5,20,0.025239158324575905,-0.16400000000000003
NFL_2017,6,26,0.12344204773249867,-0.2726923076923077
NFL_2017,7,20,0.04707860261961172,-0.04349999999999998
NFL_2017,8,27,-0.04427687369765421,-0.0251851851851852
NFL_2017,9,31,0.07048063327264797,-0.42741935483870963
NFL_2016,0,43,-0.06759837737835372,0.19627906976744192
NFL_2016,1,23,-0.08291735670989053,0.05695652173913035
