team,index,game_url
ARI,1505,usa/nhl-2005-2006/arizona-coyotes-anaheim-ducks-hb7mdnng/#home-away;1
ARI,1509,usa/nhl-2005-2006/chicago-blackhawks-arizona-coyotes-KElG92LG/#home-away;1
ARI,1510,usa/nhl-2005-2006/detroit-red-wings-arizona-coyotes-IkhaDpMi/#home-away;1
ARI,1511,usa/nhl-2005-2006/arizona-coyotes-los-angeles-kings-CUMQbo7b/#home-away;1
ARI,1518,usa/nhl-2005-2006/dallas-stars-arizona-coyotes-EHLi7XrJ/#home-away;1
ARI,1523,usa/nhl-2003-2004/calgary-flames-arizona-coyotes-jwuTceQF/#home-away;1
ARI,1527,usa/nhl-2003-2004/arizona-coyotes-calgary-flames-jqdYKLS4/#home-away;1
ARI,1528,usa/nhl-2003-2004/minnesota-wild-arizona-coyotes-rc5JQjaQ/#home-away;1
ARI,1529,usa/nhl-2003-2004/chicago-blackhawks-arizona-coyotes-d4PO49x7/#home-away;1
ARI,1534,usa/nhl-2003-2004/los-angeles-kings-arizona-coyotes-CCogqXAl/#home-away;1
ARI,1536,usa/nhl-2003-2004/arizona-coyotes-montreal-canadiens-IwUcKZJ3/#home-away;1
ARI,1537,usa/nhl-2003-2004/edmonton-oilers-arizona-coyotes-bFYkiyjH/#home-away;1
ARI,1541,usa/nhl-2003-2004/arizona-coyotes-anaheim-ducks-8K4G4ssc/#home-away;1
ARI,1546,usa/nhl-2003-2004/arizona-coyotes-new-york-islanders-KCatrIfD/#home-away;1
BOS,451,usa/nhl-2019-2020/new-jersey-devils-boston-bruins-4417Z1Y6/#home-away;1
BOS,553,usa/nhl-2018-2019/boston-bruins-calgary-flames-xIF7R4NQ/#home-away;1
BOS,1179,usa/nhl-2011-2012/new-york-islanders-boston-bruins-OGXTyuEb/#home-away;1
BOS,1182,usa/nhl-2011-2012/montreal-canadiens-boston-bruins-rBgKVW0E/#home-away;1
BOS,1395,usa/nhl-2009-2010/boston-bruins-new-york-rangers-zms22lD0/#home-away;1
BOS,1396,usa/nhl-2009-2010/toronto-maple-leafs-boston-bruins-tERE5YEm/#home-away;1
BOS,1484,usa/nhl-2008-2009/boston-bruins-pittsburgh-penguins-x82tThyK/#home-away;1
BOS,1485,usa/nhl-2008-2009/ottawa-senators-boston-bruins-bwkt5yuD/#home-away;1
