date,team_1,score_1,score_2,team_2,game_url
24/Mar,Colorado Avalanche,5,4,Pittsburgh Penguins,usa/nhl-2023-2024/colorado-avalanche-pittsburgh-penguins-h8ON31qn/
22/Mar,Colorado Avalanche,6,1,Columbus Blue Jackets,usa/nhl-2023-2024/colorado-avalanche-columbus-blue-jackets-Kf4pjrFn/
19/Mar,St. Louis Blues,3,4,Colorado Avalanche,usa/nhl-2023-2024/st-louis-blues-colorado-avalanche-fwtlM306/
16/Mar,Edmonton Oilers,2,3,Colorado Avalanche,usa/nhl-2023-2024/edmonton-oilers-colorado-avalanche-hrZ4uRDe/
13/Mar,Vancouver Canucks,3,4,Colorado Avalanche,usa/nhl-2023-2024/vancouver-canucks-colorado-avalanche-Y3XZR7qd/
12/Mar,Calgary Flames,2,6,Colorado Avalanche,usa/nhl-2023-2024/calgary-flames-colorado-avalanche-xdhaY96S/
08/Mar,Colorado Avalanche,2,1,Minnesota Wild,usa/nhl-2023-2024/colorado-avalanche-minnesota-wild-2aLggg95/
06/Mar,Colorado Avalanche,7,2,Detroit Red Wings,usa/nhl-2023-2024/colorado-avalanche-detroit-red-wings-nB9JitY0/
04/Mar,Colorado Avalanche,5,0,Chicago Blackhawks,usa/nhl-2023-2024/colorado-avalanche-chicago-blackhawks-lGRW0pBE/
02/Mar,Nashville Predators,5,1,Colorado Avalanche,usa/nhl-2023-2024/nashville-predators-colorado-avalanche-jZIdfBIP/
29/Feb,Chicago Blackhawks,0,5,Colorado Avalanche,usa/nhl-2023-2024/chicago-blackhawks-colorado-avalanche-4Idejs0f/
27/Feb,Colorado Avalanche,5,1,Dallas Stars,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-jB0KlUOk/
24/Feb,Colorado Avalanche,3,4,Toronto Maple Leafs,usa/nhl-2023-2024/colorado-avalanche-toronto-maple-leafs-0Y91SP4k/
22/Feb,Detroit Red Wings,2,1,Colorado Avalanche,usa/nhl-2023-2024/detroit-red-wings-colorado-avalanche-4d3GYHYi/
20/Feb,Colorado Avalanche,3,1,Vancouver Canucks,usa/nhl-2023-2024/colorado-avalanche-vancouver-canucks-UVflL8cM/
18/Feb,Colorado Avalanche,4,3,Arizona Coyotes,usa/nhl-2023-2024/colorado-avalanche-arizona-coyotes-Kf4IHPc0/
15/Feb,Tampa Bay Lightning,6,3,Colorado Avalanche,usa/nhl-2023-2024/tampa-bay-lightning-colorado-avalanche-xCnS68qr/
13/Feb,Washington Capitals,3,6,Colorado Avalanche,usa/nhl-2023-2024/washington-capitals-colorado-avalanche-2HCkgkFr/
10/Feb,Florida Panthers,4,0,Colorado Avalanche,usa/nhl-2023-2024/florida-panthers-colorado-avalanche-4tBqpCxS/
08/Feb,Carolina Hurricanes,5,2,Colorado Avalanche,usa/nhl-2023-2024/carolina-hurricanes-colorado-avalanche-pK4lQjod/
06/Feb,New Jersey Devils,5,3,Colorado Avalanche,usa/nhl-2023-2024/new-jersey-devils-colorado-avalanche-42p4o1H4/
05/Feb,New York Rangers,2,1,Colorado Avalanche,usa/nhl-2023-2024/new-york-rangers-colorado-avalanche-UVxhl3Xo/
26/Jan,Colorado Avalanche,5,1,Los Angeles Kings,usa/nhl-2023-2024/colorado-avalanche-los-angeles-kings-hM9oydx0/
24/Jan,Colorado Avalanche,6,2,Washington Capitals,usa/nhl-2023-2024/colorado-avalanche-washington-capitals-Y5EBOIhf/
20/Jan,Philadelphia Flyers,4,7,Colorado Avalanche,usa/nhl-2023-2024/philadelphia-flyers-colorado-avalanche-M9RTsjnn/
18/Jan,Boston Bruins,5,2,Colorado Avalanche,usa/nhl-2023-2024/boston-bruins-colorado-avalanche-AVLJZhfP/
16/Jan,Ottawa Senators,4,7,Colorado Avalanche,usa/nhl-2023-2024/ottawa-senators-colorado-avalanche-YPxl1keT/
15/Jan,Montreal Canadiens,4,3,Colorado Avalanche,usa/nhl-2023-2024/montreal-canadiens-colorado-avalanche-fZwp2VuN/
13/Jan,Toronto Maple Leafs,3,5,Colorado Avalanche,usa/nhl-2023-2024/toronto-maple-leafs-colorado-avalanche-dKsP6gRi/
10/Jan,Colorado Avalanche,3,0,Vegas Golden Knights,usa/nhl-2023-2024/colorado-avalanche-vegas-golden-knights-l0i38evT/
08/Jan,Colorado Avalanche,4,3,Boston Bruins,usa/nhl-2023-2024/colorado-avalanche-boston-bruins-04t4kGXj/
06/Jan,Colorado Avalanche,4,8,Florida Panthers,usa/nhl-2023-2024/colorado-avalanche-florida-panthers-E9ahf5JI/
04/Jan,Dallas Stars,4,5,Colorado Avalanche,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-hWW04ksQ/
02/Jan,Colorado Avalanche,5,4,New York Islanders,usa/nhl-2023-2024/colorado-avalanche-new-york-islanders-dpmbpUkf/
31/Dec,Colorado Avalanche,3,1,San Jose Sharks,usa/nhl-2023-2024/colorado-avalanche-san-jose-sharks-dW7PVUz1/
29/Dec,St. Louis Blues,1,2,Colorado Avalanche,usa/nhl-2023-2024/st-louis-blues-colorado-avalanche-dAWlJiie/
27/Dec,Arizona Coyotes,5,4,Colorado Avalanche,usa/nhl-2023-2024/arizona-coyotes-colorado-avalanche-r76F4hx2/
23/Dec,Colorado Avalanche,4,1,Arizona Coyotes,usa/nhl-2023-2024/colorado-avalanche-arizona-coyotes-88pFTp9o/
21/Dec,Colorado Avalanche,6,4,Ottawa Senators,usa/nhl-2023-2024/colorado-avalanche-ottawa-senators-EwLqKlqI/
19/Dec,Chicago Blackhawks,3,2,Colorado Avalanche,usa/nhl-2023-2024/chicago-blackhawks-colorado-avalanche-vJwz8UnP/
17/Dec,Colorado Avalanche,6,2,San Jose Sharks,usa/nhl-2023-2024/colorado-avalanche-san-jose-sharks-86NcADFg/
16/Dec,Winnipeg Jets,6,2,Colorado Avalanche,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-KUtF4ZPl/
13/Dec,Colorado Avalanche,5,1,Buffalo Sabres,usa/nhl-2023-2024/colorado-avalanche-buffalo-sabres-vRmtqyHf/
11/Dec,Colorado Avalanche,6,5,Calgary Flames,usa/nhl-2023-2024/colorado-avalanche-calgary-flames-4xsyAzoU/
09/Dec,Colorado Avalanche,2,5,Philadelphia Flyers,usa/nhl-2023-2024/colorado-avalanche-philadelphia-flyers-bZxMi83c/
07/Dec,Colorado Avalanche,2,4,Winnipeg Jets,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-bJ2haJWB/
05/Dec,Colorado Avalanche,3,2,Anaheim Ducks,usa/nhl-2023-2024/colorado-avalanche-anaheim-ducks-hfu2RBkh/
03/Dec,Los Angeles Kings,4,1,Colorado Avalanche,usa/nhl-2023-2024/los-angeles-kings-colorado-avalanche-IyRJEY5n/
02/Dec,Anaheim Ducks,4,3,Colorado Avalanche,usa/nhl-2023-2024/anaheim-ducks-colorado-avalanche-d47eE4f6/
30/Nov,Arizona Coyotes,4,3,Colorado Avalanche,usa/nhl-2023-2024/arizona-coyotes-colorado-avalanche-0IgNDX3e/
27/Nov,Colorado Avalanche,4,1,Tampa Bay Lightning,usa/nhl-2023-2024/colorado-avalanche-tampa-bay-lightning-nXrkBvrc/
25/Nov,Colorado Avalanche,3,1,Calgary Flames,usa/nhl-2023-2024/colorado-avalanche-calgary-flames-8lYHvhkS/
24/Nov,Minnesota Wild,2,3,Colorado Avalanche,usa/nhl-2023-2024/minnesota-wild-colorado-avalanche-EDaXZHLj/
22/Nov,Colorado Avalanche,5,2,Vancouver Canucks,usa/nhl-2023-2024/colorado-avalanche-vancouver-canucks-z7SrSE5M/
20/Nov,Nashville Predators,4,3,Colorado Avalanche,usa/nhl-2023-2024/nashville-predators-colorado-avalanche-fstVliVP/
18/Nov,Dallas Stars,3,6,Colorado Avalanche,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-xt8JWi9s/
15/Nov,Colorado Avalanche,8,2,Anaheim Ducks,usa/nhl-2023-2024/colorado-avalanche-anaheim-ducks-UBnQEkDF/
13/Nov,Seattle Kraken,1,5,Colorado Avalanche,usa/nhl-2023-2024/seattle-kraken-colorado-avalanche-dbSn1WrG/
11/Nov,Colorado Avalanche,2,8,St. Louis Blues,usa/nhl-2023-2024/colorado-avalanche-st-louis-blues-CAhqsBip/
09/Nov,Colorado Avalanche,3,4,Seattle Kraken,usa/nhl-2023-2024/colorado-avalanche-seattle-kraken-dOBwzfpH/
07/Nov,Colorado Avalanche,6,3,New Jersey Devils,usa/nhl-2023-2024/colorado-avalanche-new-jersey-devils-hSljpdhI/
04/Nov,Vegas Golden Knights,7,0,Colorado Avalanche,usa/nhl-2023-2024/vegas-golden-knights-colorado-avalanche-GOl7p5n1/
01/Nov,Colorado Avalanche,4,1,St. Louis Blues,usa/nhl-2023-2024/colorado-avalanche-st-louis-blues-44RurCQ2/
29/Oct,Buffalo Sabres,4,0,Colorado Avalanche,usa/nhl-2023-2024/buffalo-sabres-colorado-avalanche-fL4G6k4d/
26/Oct,Pittsburgh Penguins,4,0,Colorado Avalanche,usa/nhl-2023-2024/pittsburgh-penguins-colorado-avalanche-YqT0CKzI/
24/Oct,New York Islanders,4,7,Colorado Avalanche,usa/nhl-2023-2024/new-york-islanders-colorado-avalanche-tj4Nb16I/
21/Oct,Colorado Avalanche,6,4,Carolina Hurricanes,usa/nhl-2023-2024/colorado-avalanche-carolina-hurricanes-ARezAREJ/
19/Oct,Colorado Avalanche,4,0,Chicago Blackhawks,usa/nhl-2023-2024/colorado-avalanche-chicago-blackhawks-lbShclVD/
17/Oct,Seattle Kraken,1,4,Colorado Avalanche,usa/nhl-2023-2024/seattle-kraken-colorado-avalanche-YLIApBo8/
14/Oct,San Jose Sharks,1,2,Colorado Avalanche,usa/nhl-2023-2024/san-jose-sharks-colorado-avalanche-4U2Wqvec/
11/Oct,Los Angeles Kings,2,5,Colorado Avalanche,usa/nhl-2023-2024/los-angeles-kings-colorado-avalanche-vR7yWjFH/
05/Oct,Vegas Golden Knights,4,3,Colorado Avalanche,usa/nhl-2023-2024/vegas-golden-knights-colorado-avalanche-bqOY7Jdk/
03/Oct,Dallas Stars,3,1,Colorado Avalanche,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-8YXAtv3E/
01/Oct,Colorado Avalanche,4,3,Dallas Stars,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-UsZ6sKm8/
28/Sep,Minnesota Wild,4,2,Colorado Avalanche,usa/nhl-2023-2024/minnesota-wild-colorado-avalanche-SxeOIzB7/
25/Sep,Colorado Avalanche,3,2,Vegas Golden Knights,usa/nhl-2023-2024/colorado-avalanche-vegas-golden-knights-ptKU8asq/
24/Sep,Colorado Avalanche,3,4,Minnesota Wild,usa/nhl-2023-2024/colorado-avalanche-minnesota-wild-EZjKJGe1/
30/Apr,Colorado Avalanche,1,2,Seattle Kraken,usa/nhl-2022-2023/colorado-avalanche-seattle-kraken-IwhsW0QI/
28/Apr,Seattle Kraken,1,4,Colorado Avalanche,usa/nhl-2022-2023/seattle-kraken-colorado-avalanche-fsKwBlhC/
26/Apr,Colorado Avalanche,2,3,Seattle Kraken,usa/nhl-2022-2023/colorado-avalanche-seattle-kraken-481j3rrD/
24/Apr,Seattle Kraken,3,2,Colorado Avalanche,usa/nhl-2022-2023/seattle-kraken-colorado-avalanche-jF29UtwF/
22/Apr,Seattle Kraken,4,6,Colorado Avalanche,usa/nhl-2022-2023/seattle-kraken-colorado-avalanche-dh35VMN8/
20/Apr,Colorado Avalanche,3,2,Seattle Kraken,usa/nhl-2022-2023/colorado-avalanche-seattle-kraken-WAkp7nui/
18/Apr,Colorado Avalanche,1,3,Seattle Kraken,usa/nhl-2022-2023/colorado-avalanche-seattle-kraken-SxP3bfyi/
14/Apr,Nashville Predators,3,4,Colorado Avalanche,usa/nhl-2022-2023/nashville-predators-colorado-avalanche-r9k6treo/
13/Apr,Colorado Avalanche,4,2,Winnipeg Jets,usa/nhl-2022-2023/colorado-avalanche-winnipeg-jets-AeD9OclD/
11/Apr,Colorado Avalanche,1,2,Edmonton Oilers,usa/nhl-2022-2023/colorado-avalanche-edmonton-oilers-fL4GoUk9/
09/Apr,Anaheim Ducks,4,5,Colorado Avalanche,usa/nhl-2022-2023/anaheim-ducks-colorado-avalanche-4AM0J1Dn/
08/Apr,Los Angeles Kings,3,4,Colorado Avalanche,usa/nhl-2022-2023/los-angeles-kings-colorado-avalanche-YRVUONkP/
06/Apr,San Jose Sharks,2,6,Colorado Avalanche,usa/nhl-2022-2023/san-jose-sharks-colorado-avalanche-4nY4m1TI/
04/Apr,San Jose Sharks,3,4,Colorado Avalanche,usa/nhl-2022-2023/san-jose-sharks-colorado-avalanche-zZGN5NRk/
01/Apr,Colorado Avalanche,5,2,Dallas Stars,usa/nhl-2022-2023/colorado-avalanche-dallas-stars-fFJd18z4/
29/Mar,Colorado Avalanche,2,4,Minnesota Wild,usa/nhl-2022-2023/colorado-avalanche-minnesota-wild-6HJpZkiB/
27/Mar,Anaheim Ducks,1,5,Colorado Avalanche,usa/nhl-2022-2023/anaheim-ducks-colorado-avalanche-MTaLWdVC/
26/Mar,Arizona Coyotes,3,4,Colorado Avalanche,usa/nhl-2022-2023/arizona-coyotes-colorado-avalanche-Qs40yLGs/
24/Mar,Colorado Avalanche,3,1,Arizona Coyotes,usa/nhl-2022-2023/colorado-avalanche-arizona-coyotes-6JUNN1nr/
22/Mar,Colorado Avalanche,2,5,Pittsburgh Penguins,usa/nhl-2022-2023/colorado-avalanche-pittsburgh-penguins-AiFqArIr/
20/Mar,Colorado Avalanche,5,0,Chicago Blackhawks,usa/nhl-2022-2023/colorado-avalanche-chicago-blackhawks-WpSHeq3k/
18/Mar,Detroit Red Wings,1,5,Colorado Avalanche,usa/nhl-2022-2023/detroit-red-wings-colorado-avalanche-QRXb2fK4/
16/Mar,Ottawa Senators,4,5,Colorado Avalanche,usa/nhl-2022-2023/ottawa-senators-colorado-avalanche-0zV5sT1L/
15/Mar,Toronto Maple Leafs,1,2,Colorado Avalanche,usa/nhl-2022-2023/toronto-maple-leafs-colorado-avalanche-vLtcqkX8/
13/Mar,Montreal Canadiens,4,8,Colorado Avalanche,usa/nhl-2022-2023/montreal-canadiens-colorado-avalanche-YPUQtdBA/
11/Mar,Colorado Avalanche,3,2,Arizona Coyotes,usa/nhl-2022-2023/colorado-avalanche-arizona-coyotes-8zkVvQng/
09/Mar,Colorado Avalanche,2,5,Los Angeles Kings,usa/nhl-2022-2023/colorado-avalanche-los-angeles-kings-I5M8NOHI/
07/Mar,Colorado Avalanche,6,0,San Jose Sharks,usa/nhl-2022-2023/colorado-avalanche-san-jose-sharks-dxgRAoYC/
05/Mar,Colorado Avalanche,2,3,Seattle Kraken,usa/nhl-2022-2023/colorado-avalanche-seattle-kraken-zaQZKVeK/
04/Mar,Dallas Stars,7,3,Colorado Avalanche,usa/nhl-2022-2023/dallas-stars-colorado-avalanche-lhRy0UJf/
01/Mar,Colorado Avalanche,5,7,New Jersey Devils,usa/nhl-2022-2023/colorado-avalanche-new-jersey-devils-0ClQovap/
27/Feb,Colorado Avalanche,3,0,Vegas Golden Knights,usa/nhl-2022-2023/colorado-avalanche-vegas-golden-knights-O8SLx1MT/
25/Feb,Colorado Avalanche,4,1,Calgary Flames,usa/nhl-2022-2023/colorado-avalanche-calgary-flames-UuGwLpEA/
24/Feb,Winnipeg Jets,1,5,Colorado Avalanche,usa/nhl-2022-2023/winnipeg-jets-colorado-avalanche-00OMOSEo/
19/Feb,Colorado Avalanche,6,5,Edmonton Oilers,usa/nhl-2022-2023/colorado-avalanche-edmonton-oilers-YBP6cjGn/
18/Feb,St. Louis Blues,1,4,Colorado Avalanche,usa/nhl-2022-2023/st-louis-blues-colorado-avalanche-KfIzImNk/
15/Feb,Minnesota Wild,2,3,Colorado Avalanche,usa/nhl-2022-2023/minnesota-wild-colorado-avalanche-WU7R9jVS/
14/Feb,Colorado Avalanche,3,4,Tampa Bay Lightning,usa/nhl-2022-2023/colorado-avalanche-tampa-bay-lightning-WfwNChoA/
11/Feb,Florida Panthers,3,5,Colorado Avalanche,usa/nhl-2022-2023/florida-panthers-colorado-avalanche-dvGGe0AI/
09/Feb,Tampa Bay Lightning,5,0,Colorado Avalanche,usa/nhl-2022-2023/tampa-bay-lightning-colorado-avalanche-McqL6QIJ/
07/Feb,Pittsburgh Penguins,2,1,Colorado Avalanche,usa/nhl-2022-2023/pittsburgh-penguins-colorado-avalanche-Mq4nhR3Q/
28/Jan,Colorado Avalanche,4,2,St. Louis Blues,usa/nhl-2022-2023/colorado-avalanche-st-louis-blues-dfIavXPh/
26/Jan,Colorado Avalanche,3,5,Anaheim Ducks,usa/nhl-2022-2023/colorado-avalanche-anaheim-ducks-xEiUOiQ5/
24/Jan,Colorado Avalanche,3,2,Washington Capitals,usa/nhl-2022-2023/colorado-avalanche-washington-capitals-xj9sYe3J/
21/Jan,Seattle Kraken,1,2,Colorado Avalanche,usa/nhl-2022-2023/seattle-kraken-colorado-avalanche-I7D3G8Gl/
20/Jan,Vancouver Canucks,1,4,Colorado Avalanche,usa/nhl-2022-2023/vancouver-canucks-colorado-avalanche-h61wVu0o/
18/Jan,Calgary Flames,1,4,Colorado Avalanche,usa/nhl-2022-2023/calgary-flames-colorado-avalanche-Y1UCEKF4/
16/Jan,Colorado Avalanche,6,3,Detroit Red Wings,usa/nhl-2022-2023/colorado-avalanche-detroit-red-wings-I5MzdsZ4/
14/Jan,Colorado Avalanche,7,0,Ottawa Senators,usa/nhl-2022-2023/colorado-avalanche-ottawa-senators-SQrGS4Ot/
12/Jan,Chicago Blackhawks,3,2,Colorado Avalanche,usa/nhl-2022-2023/chicago-blackhawks-colorado-avalanche-t4iMjncP/
10/Jan,Colorado Avalanche,4,5,Florida Panthers,usa/nhl-2022-2023/colorado-avalanche-florida-panthers-IB3FX6jm/
07/Jan,Edmonton Oilers,2,3,Colorado Avalanche,usa/nhl-2022-2023/edmonton-oilers-colorado-avalanche-0hfudXm2/
05/Jan,Vancouver Canucks,4,2,Colorado Avalanche,usa/nhl-2022-2023/vancouver-canucks-colorado-avalanche-2sp05yRF/
02/Jan,Colorado Avalanche,2,3,Vegas Golden Knights,usa/nhl-2022-2023/colorado-avalanche-vegas-golden-knights-xdhSBVCT/
31/Dec,Colorado Avalanche,2,6,Toronto Maple Leafs,usa/nhl-2022-2023/colorado-avalanche-toronto-maple-leafs-E1uOWGKj/
29/Dec,Colorado Avalanche,4,5,Los Angeles Kings,usa/nhl-2022-2023/colorado-avalanche-los-angeles-kings-lf6hMOUJ/
27/Dec,Arizona Coyotes,6,3,Colorado Avalanche,usa/nhl-2022-2023/arizona-coyotes-colorado-avalanche-lYUH9ooE/
23/Dec,Nashville Predators,2,3,Colorado Avalanche,usa/nhl-2022-2023/nashville-predators-colorado-avalanche-fuDETyji/
21/Dec,Colorado Avalanche,2,1,Montreal Canadiens,usa/nhl-2022-2023/colorado-avalanche-montreal-canadiens-UybwPSMC/
19/Dec,Colorado Avalanche,1,0,New York Islanders,usa/nhl-2022-2023/colorado-avalanche-new-york-islanders-Ct703uxn/
17/Dec,Colorado Avalanche,3,1,Nashville Predators,usa/nhl-2022-2023/colorado-avalanche-nashville-predators-6LySltNh/
15/Dec,Colorado Avalanche,2,4,Buffalo Sabres,usa/nhl-2022-2023/colorado-avalanche-buffalo-sabres-GYmg3KKl/
13/Dec,Colorado Avalanche,3,2,Philadelphia Flyers,usa/nhl-2022-2023/colorado-avalanche-philadelphia-flyers-4E2Jjsyq/
11/Dec,St. Louis Blues,2,3,Colorado Avalanche,usa/nhl-2022-2023/st-louis-blues-colorado-avalanche-xpjgnSqc/
09/Dec,Colorado Avalanche,1,2,New York Rangers,usa/nhl-2022-2023/colorado-avalanche-new-york-rangers-rNUJXSU3/
07/Dec,Colorado Avalanche,0,4,Boston Bruins,usa/nhl-2022-2023/colorado-avalanche-boston-bruins-86XnVZ85/
05/Dec,Philadelphia Flyers,5,3,Colorado Avalanche,usa/nhl-2022-2023/philadelphia-flyers-colorado-avalanche-rkVLGzfC/
03/Dec,Boston Bruins,5,1,Colorado Avalanche,usa/nhl-2022-2023/boston-bruins-colorado-avalanche-MFER6aQm/
01/Dec,Buffalo Sabres,4,6,Colorado Avalanche,usa/nhl-2022-2023/buffalo-sabres-colorado-avalanche-zoyofMtr/
29/Nov,Winnipeg Jets,5,0,Colorado Avalanche,usa/nhl-2022-2023/winnipeg-jets-colorado-avalanche-nkMlns2m/
26/Nov,Colorado Avalanche,4,1,Dallas Stars,usa/nhl-2022-2023/colorado-avalanche-dallas-stars-n1rY0Xcc/
23/Nov,Colorado Avalanche,3,4,Vancouver Canucks,usa/nhl-2022-2023/colorado-avalanche-vancouver-canucks-UwepKOIf/
21/Nov,Dallas Stars,2,3,Colorado Avalanche,usa/nhl-2022-2023/dallas-stars-colorado-avalanche-fVPcYp3O/
19/Nov,Washington Capitals,0,4,Colorado Avalanche,usa/nhl-2022-2023/washington-capitals-colorado-avalanche-IRiOO3Bh/
17/Nov,Carolina Hurricanes,2,3,Colorado Avalanche,usa/nhl-2022-2023/carolina-hurricanes-colorado-avalanche-bBdlCQRn/
14/Nov,Colorado Avalanche,2,3,St. Louis Blues,usa/nhl-2022-2023/colorado-avalanche-st-louis-blues-ARyBb7cm/
12/Nov,Colorado Avalanche,4,1,Carolina Hurricanes,usa/nhl-2022-2023/colorado-avalanche-carolina-hurricanes-IXCXplTm/
10/Nov,Colorado Avalanche,5,3,Nashville Predators,usa/nhl-2022-2023/colorado-avalanche-nashville-predators-CIdxlHqS/
05/Nov,Columbus Blue Jackets,1,5,Colorado Avalanche,usa/nhl-2022-2023/columbus-blue-jackets-colorado-avalanche-O8M0R2Wc/
04/Nov,Colorado Avalanche,6,3,Columbus Blue Jackets,usa/nhl-2022-2023/colorado-avalanche-columbus-blue-jackets-StTiTO1o/
29/Oct,New York Islanders,5,4,Colorado Avalanche,usa/nhl-2022-2023/new-york-islanders-colorado-avalanche-vPIEFpGl/
28/Oct,New Jersey Devils,1,0,Colorado Avalanche,usa/nhl-2022-2023/new-jersey-devils-colorado-avalanche-6HolaPV7/
25/Oct,New York Rangers,2,3,Colorado Avalanche,usa/nhl-2022-2023/new-york-rangers-colorado-avalanche-EavOfAvM/
22/Oct,Vegas Golden Knights,2,3,Colorado Avalanche,usa/nhl-2022-2023/vegas-golden-knights-colorado-avalanche-IDQkfwlB/
21/Oct,Colorado Avalanche,2,3,Seattle Kraken,usa/nhl-2022-2023/colorado-avalanche-seattle-kraken-0OzMvblO/
19/Oct,Colorado Avalanche,3,4,Winnipeg Jets,usa/nhl-2022-2023/colorado-avalanche-winnipeg-jets-WdWoHC9q/
17/Oct,Minnesota Wild,3,6,Colorado Avalanche,usa/nhl-2022-2023/minnesota-wild-colorado-avalanche-l0VIWrjm/
13/Oct,Calgary Flames,5,3,Colorado Avalanche,usa/nhl-2022-2023/calgary-flames-colorado-avalanche-pjudX0O7/
12/Oct,Colorado Avalanche,5,2,Chicago Blackhawks,usa/nhl-2022-2023/colorado-avalanche-chicago-blackhawks-MizHt51L/
05/Oct,Colorado Avalanche,2,1,Dallas Stars,usa/nhl-2022-2023/colorado-avalanche-dallas-stars-420D66L3/
03/Oct,Dallas Stars,1,3,Colorado Avalanche,usa/nhl-2022-2023/dallas-stars-colorado-avalanche-zP3x5gpa/
28/Sep,Vegas Golden Knights,7,1,Colorado Avalanche,usa/nhl-2022-2023/vegas-golden-knights-colorado-avalanche-Gp4pnuvK/
27/Sep,Colorado Avalanche,2,5,Minnesota Wild,usa/nhl-2022-2023/colorado-avalanche-minnesota-wild-dzlBXuPQ/
25/Sep,Colorado Avalanche,3,1,Vegas Golden Knights,usa/nhl-2022-2023/colorado-avalanche-vegas-golden-knights-xfkIjr8i/
25/Sep,Minnesota Wild,3,2,Colorado Avalanche,usa/nhl-2022-2023/minnesota-wild-colorado-avalanche-2ua7Y0hN/
26/Jun,Tampa Bay Lightning,1,2,Colorado Avalanche,usa/nhl-2021-2022/tampa-bay-lightning-colorado-avalanche-vysy4BR4/
24/Jun,Colorado Avalanche,2,3,Tampa Bay Lightning,usa/nhl-2021-2022/colorado-avalanche-tampa-bay-lightning-URf6gUvF/
22/Jun,Tampa Bay Lightning,2,3,Colorado Avalanche,usa/nhl-2021-2022/tampa-bay-lightning-colorado-avalanche-CW58b70m/
20/Jun,Tampa Bay Lightning,6,2,Colorado Avalanche,usa/nhl-2021-2022/tampa-bay-lightning-colorado-avalanche-Yu74amos/
