Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
15/05/2022,PIT,CIN,1,0,MLB_2022
14/05/2022,PIT,CIN,3,1,MLB_2022
13/05/2022,PIT,CIN,2,8,MLB_2022
12/05/2022,PIT,CIN,0,4,MLB_2022
11/05/2022,PIT,LAD,5,3,MLB_2022
10/05/2022,PIT,LAD,1,11,MLB_2022
09/05/2022,PIT,LAD,5,1,MLB_2022
08/05/2022,CIN,PIT,7,3,MLB_2022
07/05/2022,CIN,PIT,5,8,MLB_2022
07/05/2022,CIN,PIT,9,2,MLB_2022
04/05/2022,DET,PIT,2,7,MLB_2022
04/05/2022,DET,PIT,3,2,MLB_2022
01/05/2022,PIT,SD,2,5,MLB_2022
30/04/2022,PIT,SD,7,6,MLB_2022
29/04/2022,PIT,SD,3,7,MLB_2022
28/04/2022,PIT,MIL,2,3,MLB_2022
27/04/2022,PIT,MIL,1,3,MLB_2022
26/04/2022,PIT,MIL,8,12,MLB_2022
24/04/2022,CHC,PIT,3,4,MLB_2022
23/04/2022,CHC,PIT,21,0,MLB_2022
22/04/2022,CHC,PIT,2,4,MLB_2022
21/04/2022,CHC,PIT,3,4,MLB_2022
20/04/2022,MIL,PIT,4,2,MLB_2022
19/04/2022,MIL,PIT,5,2,MLB_2022
18/04/2022,MIL,PIT,6,1,MLB_2022
17/04/2022,PIT,WSH,5,3,MLB_2022
16/04/2022,PIT,WSH,6,4,MLB_2022
15/04/2022,PIT,WSH,2,7,MLB_2022
14/04/2022,PIT,WSH,9,4,MLB_2022
13/04/2022,PIT,CHC,6,2,MLB_2022
12/04/2022,PIT,CHC,1,2,MLB_2022
10/04/2022,STL,PIT,4,9,MLB_2022
09/04/2022,STL,PIT,6,2,MLB_2022
07/04/2022,STL,PIT,9,0,MLB_2022
03/10/2021,PIT,CIN,3,6,MLB_2021
02/10/2021,PIT,CIN,8,6,MLB_2021
01/10/2021,PIT,CIN,9,2,MLB_2021
30/09/2021,PIT,CHC,0,9,MLB_2021
29/09/2021,PIT,CHC,2,3,MLB_2021
28/09/2021,PIT,CHC,8,6,MLB_2021
27/09/2021,CIN,PIT,13,1,MLB_2021
26/09/2021,PHI,PIT,0,6,MLB_2021
25/09/2021,PHI,PIT,3,0,MLB_2021
24/09/2021,PHI,PIT,8,6,MLB_2021
23/09/2021,PHI,PIT,12,6,MLB_2021
