date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
31-12-2023,CGY,PHI,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-philadelphia-flyers-Kv4UXSUE/#home-away;1,-147,126
29-12-2023,SEA,PHI,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-philadelphia-flyers-IPKcHVL7/#home-away;1,-137,117
28-12-2023,VAN,PHI,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-philadelphia-flyers-lIpsw3kc/#home-away;1,-151,130
22-12-2023,DET,PHI,7,6,1,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-philadelphia-flyers-MiMXG7Pu/#home-away;1,-130,110
21-12-2023,PHI,NSH,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-nashville-predators-CQQMbQ9B/#home-away;1,-114,-104
19-12-2023,NJ,PHI,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-philadelphia-flyers-nPjlpRfI/#home-away;1,-162,138
16-12-2023,PHI,DET,1,0,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-detroit-red-wings-861SfYF6/#home-away;1,-125,106
14-12-2023,PHI,WSH,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-washington-capitals-zgsksFo7/#home-away;1,-131,112
12-12-2023,NSH,PHI,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-philadelphia-flyers-h69cia9E/#home-away;1,-136,116
09-12-2023,COL,PHI,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-philadelphia-flyers-bZxMi83c/#home-away;1,-171,148
07-12-2023,ARI,PHI,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-philadelphia-flyers-6uErvkZc/#home-away;1,-103,-114
04-12-2023,PHI,PIT,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-pittsburgh-penguins-viFSCCza/#home-away;1,100,-117
02-12-2023,PIT,PHI,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-philadelphia-flyers-x2ifGQPg/#home-away;1,-169,146
30-11-2023,PHI,NJ,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-jersey-devils-lQfqLFBL/#home-away;1,117,-136
28-11-2023,PHI,CAR,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-carolina-hurricanes-Mky28xSF/#home-away;1,141,-162
25-11-2023,NYI,PHI,0,1,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-philadelphia-flyers-YTIFduT3/#home-away;1,-148,128
24-11-2023,PHI,NYR,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-york-rangers-EkHpqMb4/#home-away;1,125,-143
22-11-2023,NYI,PHI,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-philadelphia-flyers-jXDMv77I/#home-away;1,-149,129
19-11-2023,PHI,CBJ,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-columbus-blue-jackets-Ag6RUVwf/#home-away;1,-166,143
18-11-2023,PHI,VGK,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-vegas-golden-knights-SGLcFjv7/#home-away;1,134,-155
15-11-2023,CAR,PHI,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-philadelphia-flyers-jLmMFVc9/#home-away;1,-227,192
11-11-2023,LAK,PHI,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-philadelphia-flyers-j1imtV6j/#home-away;1,-222,187
10-11-2023,ANA,PHI,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-philadelphia-flyers-pt6hieFi/#home-away;1,100,-118
07-11-2023,SJ,PHI,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-philadelphia-flyers-nklfqG7O/#home-away;1,175,-207
04-11-2023,PHI,LAK,0,5,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-los-angeles-kings-G06Kg9PE/#home-away;1,164,-192
03-11-2023,BUF,PHI,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-philadelphia-flyers-OUPTWoI1/#home-away;1,-161,139
01-11-2023,PHI,BUF,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-buffalo-sabres-j1wbJSm2/#home-away;1,-109,-109
30-10-2023,PHI,CAR,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-carolina-hurricanes-2y5ASWQF/#home-away;1,161,-186
28-10-2023,PHI,ANA,4,7,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-anaheim-ducks-OWQXEDdG/#home-away;1,-174,149
26-10-2023,PHI,MIN,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-minnesota-wild-fgUdD0LB/#home-away;1,-104,-113
24-10-2023,VGK,PHI,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-philadelphia-flyers-StwtHrMn/#home-away;1,-194,166
21-10-2023,DAL,PHI,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-philadelphia-flyers-lMAulph0/#home-away;1,-248,211
19-10-2023,PHI,EDM,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-edmonton-oilers-SvUAMwBg/#home-away;1,167,-197
17-10-2023,PHI,VAN,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-vancouver-canucks-A3cp6IQC/#home-away;1,117,-137
14-10-2023,OTT,PHI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-philadelphia-flyers-OW6Agus7/#home-away;1,-182,156
12-10-2023,CBJ,PHI,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-philadelphia-flyers-zg1pUUqU/#home-away;1,-120,100
05-10-2023,PHI,NYI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-york-islanders-EVbXTFya/#home-away;1,-144,115
02-10-2023,PHI,BOS,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-boston-bruins-0WpXpvxA/#home-away;1,-164,134
30-09-2023,PHI,NJ,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-jersey-devils-2kOEJAdf/#home-away;1,145,-179
29-09-2023,BOS,PHI,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-philadelphia-flyers-MunToKM3/#home-away;1,-303,235
27-09-2023,NYI,PHI,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-philadelphia-flyers-W69SUeMh/#home-away;1,-303,235
25-09-2023,NJ,PHI,6,0,1,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-philadelphia-flyers-jFKAKjsl/#home-away;1,-200,150
13-04-2023,CHI,PHI,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/chicago-blackhawks-philadelphia-flyers-4pwApvCo/#home-away;1,-104,-113
11-04-2023,PHI,CBJ,4,3,1,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-columbus-blue-jackets-rF0wXKsn/#home-away;1,-211,178
09-04-2023,PHI,BOS,3,5,0,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-boston-bruins-AmNdKsbt/#home-away;1,186,-220
08-04-2023,NYI,PHI,4,0,1,NHL_2022/2023,usa/nhl-2022-2023/new-york-islanders-philadelphia-flyers-p6gv20rC/#home-away;1,-283,233
06-04-2023,DAL,PHI,4,1,1,NHL_2022/2023,usa/nhl-2022-2023/dallas-stars-philadelphia-flyers-2NyliqUg/#home-away;1,-244,205
02-04-2023,PIT,PHI,4,2,1,NHL_2022/2023,usa/nhl-2022-2023/pittsburgh-penguins-philadelphia-flyers-MVjliOCd/#home-away;1,-252,213
01-04-2023,PHI,BUF,3,6,0,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-buffalo-sabres-6gs6voTj/#home-away;1,-114,-103
30-03-2023,OTT,PHI,5,4,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-philadelphia-flyers-QT2g96RB/#home-away;1,-173,150
28-03-2023,PHI,MTL,3,2,1,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-montreal-canadiens-jD5M6D5D/#home-away;1,-147,128
25-03-2023,PHI,DET,3,0,1,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-detroit-red-wings-vorVLuHf/#home-away;1,-129,110
23-03-2023,PHI,MIN,5,4,1,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-minnesota-wild-4j8h8Mne/#home-away;1,131,-152
21-03-2023,PHI,FLA,6,3,1,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-florida-panthers-Igz5HQP8/#home-away;1,139,-160
18-03-2023,PHI,CAR,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-carolina-hurricanes-bJlyq6Jq/#home-away;1,207,-245
17-03-2023,PHI,BUF,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-buffalo-sabres-zwun5dzn/#home-away;1,117,-135
14-03-2023,PHI,VGK,3,5,0,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-vegas-golden-knights-jo5hkmPI/#home-away;1,158,-182
11-03-2023,PIT,PHI,5,1,1,NHL_2022/2023,usa/nhl-2022-2023/pittsburgh-penguins-philadelphia-flyers-zNjNtnIt/#home-away;1,-268,224
09-03-2023,CAR,PHI,1,0,1,NHL_2022/2023,usa/nhl-2022-2023/carolina-hurricanes-philadelphia-flyers-rTRqTSms/#home-away;1,-408,329
07-03-2023,TB,PHI,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/tampa-bay-lightning-philadelphia-flyers-Sd5EDmlf/#home-away;1,-297,243
05-03-2023,PHI,DET,3,1,1,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-detroit-red-wings-KjrmcS3D/#home-away;1,-125,109
01-03-2023,PHI,NYR,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-new-york-rangers-4t3fi0yN/#home-away;1,190,-226
25-02-2023,NJ,PHI,7,0,1,NHL_2022/2023,usa/nhl-2022-2023/new-jersey-devils-philadelphia-flyers-StDsPshU/#home-away;1,-305,249
24-02-2023,PHI,MTL,2,5,0,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-montreal-canadiens-AyqD4PTT/#home-away;1,-164,141
21-02-2023,EDM,PHI,4,2,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-philadelphia-flyers-hzaqB9pn/#home-away;1,-333,269
