Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,home_rating,away_rating
25/03/2021,COL,VGK,5,1,NHL_2021,0.04542216258091512,0.07616409646042968
10/03/2021,MIN,VGK,4,3,NHL_2021,0.04074981245078117,0.07794447905405831
08/03/2021,MIN,VGK,2,0,NHL_2021,0.03567041072563538,0.0893795294476268
03/03/2021,VGK,MIN,5,1,NHL_2021,0.07281414761515662,0.04298869999686764
01/03/2021,VGK,MIN,5,4,NHL_2021,0.06639576395581716,0.0493002997670551
22/02/2021,COL,VGK,0,3,NHL_2021,0.04761147570564559,0.06057216083156974
16/02/2021,VGK,COL,2,3,NHL_2021,0.0803311361202397,0.03359887644543456
14/02/2021,VGK,COL,1,0,NHL_2021,0.06925472423310697,0.03943068387607611
14/09/2020,VGK,DAL,2,3,NHL_2020,0.04136042810042773,0.04056420406714245
12/09/2020,DAL,VGK,2,1,NHL_2020,0.039668562203955184,0.04229967603201761
10/09/2020,DAL,VGK,3,2,NHL_2020,0.03872032780835192,0.04326395115948238
08/09/2020,VGK,DAL,3,0,NHL_2020,0.04235452767466135,0.03960269466069929
06/09/2020,VGK,DAL,0,1,NHL_2020,0.04341038771004536,0.0386439671237159
08/08/2020,COL,VGK,3,4,NHL_2020,0.049498029479245365,0.039937984724544885
03/08/2020,VGK,DAL,5,3,NHL_2020,0.037820714280499566,0.03659170220839757
09/03/2020,EDM,VGK,2,3,NHL_2020,0.03457576727551286,0.03580196936845617
06/03/2020,WPG,VGK,4,0,NHL_2020,0.030369764809006022,0.03588971636178451
03/03/2020,VGK,NJ,3,0,NHL_2020,0.03492854823772813,0.019931233549688086
26/02/2020,VGK,EDM,3,0,NHL_2020,0.03399750842497712,0.032251253570497386
22/02/2020,VGK,FLA,5,3,NHL_2020,0.032133265071342745,0.03371799080189484
17/02/2020,VGK,WSH,3,2,NHL_2020,0.02952227615799988,0.05597687450442602
15/02/2020,VGK,NYI,1,0,NHL_2020,0.028068115272931363,0.04558968262649009
11/02/2020,MIN,VGK,4,0,NHL_2020,0.027050321161362346,0.02802751762609844
06/02/2020,FLA,VGK,2,7,NHL_2020,0.038924365852373646,0.027825311594009087
21/01/2020,BOS,VGK,3,2,NHL_2020,0.03894758320269104,0.027253593037454886
18/01/2020,MTL,VGK,5,4,NHL_2020,0.022290659063465917,0.02855436285210307
16/01/2020,OTT,VGK,2,4,NHL_2020,0.015477734009197632,0.027606569894468573
11/01/2020,VGK,CBJ,0,3,NHL_2020,0.029996570027484737,0.0268459137960096
02/01/2020,VGK,PHI,5,4,NHL_2020,0.029659342678076007,0.03520556620456583
23/12/2019,VGK,COL,3,7,NHL_2020,0.02946269661318096,0.0496066138098603
17/12/2019,VGK,MIN,3,2,NHL_2020,0.0280975197062773,0.025051955594380854
13/12/2019,DAL,VGK,2,3,NHL_2020,0.04455089233640003,0.024461212846501587
08/12/2019,VGK,NYR,0,5,NHL_2020,0.02588871377988827,0.028276825258393166
05/12/2019,NYI,VGK,3,2,NHL_2020,0.06736345677969302,0.026939157358160683
03/12/2019,NJ,VGK,3,4,NHL_2020,0.015436069132181455,0.025667682211108083
02/12/2019,NYR,VGK,1,4,NHL_2020,0.03213453016406203,0.02384556955103741
25/11/2019,DAL,VGK,4,2,NHL_2020,0.046352385245979406,0.019878907160315575
23/11/2019,VGK,EDM,2,4,NHL_2020,0.020133748147371473,0.03719381667966915
19/11/2019,VGK,TOR,4,2,NHL_2020,0.020944728924866082,0.020072741305957962
09/11/2019,WSH,VGK,5,2,NHL_2020,0.08103127715816488,0.028453669710145065
07/11/2019,TOR,VGK,2,1,NHL_2020,0.025850555246849843,0.029836569462171905
05/11/2019,CBJ,VGK,1,2,NHL_2020,0.016021012861448285,0.027250240395583557
02/11/2019,VGK,WPG,3,4,NHL_2020,0.033354416002335095,0.025313595740933264
31/10/2019,VGK,MTL,4,5,NHL_2020,0.04228937803352608,0.02153940811316516
25/10/2019,VGK,COL,1,6,NHL_2020,0.04302255657911604,0.11206709475318649
21/10/2019,PHI,VGK,6,2,NHL_2020,0.006083078850945296,0.052604987245549524
17/10/2019,VGK,OTT,3,2,NHL_2020,0.03392927685920105,0.0011964492297208882
08/10/2019,VGK,BOS,3,4,NHL_2020,0.023498892010900267,0.023498892010900267
01/04/2019,VGK,EDM,3,1,NHL_2019,0.03347383162463043,0.02273395284068058
29/03/2019,VGK,MIN,2,3,NHL_2019,0.03515852058157723,0.023999055990261874
27/03/2019,COL,VGK,4,3,NHL_2019,0.02454062307056489,0.0362764528693618
21/03/2019,VGK,WPG,5,0,NHL_2019,0.03761113405609549,0.04408018502692437
17/03/2019,VGK,EDM,6,3,NHL_2019,0.03574436387946249,0.02441472868474141
15/03/2019,DAL,VGK,1,2,NHL_2019,0.033373995176319844,0.034793698268163885
28/02/2019,VGK,FLA,6,5,NHL_2019,0.031195958840951814,0.02544001035793848
