date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
21-04-2015,DET,NYY,2,5,0,MLB_2015,usa/mlb-2015/detroit-tigers-new-york-yankees-E916PPzB/,-120,101,-114,106
20-04-2015,DET,NYY,2,1,1,MLB_2015,usa/mlb-2015/detroit-tigers-new-york-yankees-2kGWCni5/,-122,102,-119,112
19-04-2015,DET,CHW,9,1,1,MLB_2015,usa/mlb-2015/detroit-tigers-chicago-white-sox-YiH8OOYJ/,-142,121,-130,129
18-04-2015,DET,CHW,3,12,0,MLB_2015,usa/mlb-2015/detroit-tigers-chicago-white-sox-YXhRBokE/,-116,-103,-109,102
17-04-2015,DET,CHW,2,1,1,MLB_2015,usa/mlb-2015/detroit-tigers-chicago-white-sox-QT28aHai/,-160,140,-154,154
15-04-2015,PIT,DET,0,1,0,MLB_2015,usa/mlb-2015/pittsburgh-pirates-detroit-tigers-UwL3VxoB/,-147,126,-130,135
14-04-2015,PIT,DET,0,2,0,MLB_2015,usa/mlb-2015/pittsburgh-pirates-detroit-tigers-O6NHL1Hn/,-117,-102,-109,104
13-04-2015,PIT,DET,5,4,1,MLB_2015,usa/mlb-2015/pittsburgh-pirates-detroit-tigers-2g4F3Te1/,-138,117,-127,125
12-04-2015,CLE,DET,5,8,0,MLB_2015,usa/mlb-2015/cleveland-guardians-detroit-tigers-fofw2GKd/,101,-123,104,-115
11-04-2015,CLE,DET,6,9,0,MLB_2015,usa/mlb-2015/cleveland-guardians-detroit-tigers-n77o0ZXB/,-106,-115,100,-104
10-04-2015,CLE,DET,4,8,0,MLB_2015,usa/mlb-2015/cleveland-guardians-detroit-tigers-I7imivks/,-125,102,-120,110
09-04-2015,DET,MIN,7,1,1,MLB_2015,usa/mlb-2015/detroit-tigers-minnesota-twins-pKMYXGlJ/,-139,117,-135,125
08-04-2015,DET,MIN,11,0,1,MLB_2015,usa/mlb-2015/detroit-tigers-minnesota-twins-0hlCUsrR/,-174,146,-164,170
06-04-2015,DET,MIN,4,0,1,MLB_2015,usa/mlb-2015/detroit-tigers-minnesota-twins-OULsJgwb/,-156,136,-152,141
04-04-2015,TB,DET,0,1,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/tampa-bay-rays-detroit-tigers-v37uksfE/,-121,-100,-112,108
03-04-2015,DET,TB,5,11,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-tampa-bay-rays-48BTdjtH/,-134,111,-132,117
01-04-2015,HOU,DET,3,2,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/houston-astros-detroit-tigers-pQPeZerg/,-103,-118,100,-108
31-03-2015,DET,PIT,3,7,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-pittsburgh-pirates-GlbkSvyQ/,-157,130,-143,140
30-03-2015,DET,ATL,2,4,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-atlanta-braves-00MuCSpS/,-152,126,-141,137
29-03-2015,PHI,DET,4,4,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/philadelphia-phillies-detroit-tigers-W06s3X1c/,-104,-116,104,-108
28-03-2015,DET,STL,4,3,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-st-louis-cardinals-YTxnKAKb/,-132,109,-123,114
27-03-2015,TOR,DET,4,1,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/toronto-blue-jays-detroit-tigers-6wH3iz3o/,-132,110,-122,114
26-03-2015,DET,BAL,6,4,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-baltimore-orioles-YZcetexf/,-132,109,-123,114
25-03-2015,DET,MIA,8,4,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-miami-marlins-W2TWmnv3/,-133,111,-112,123
24-03-2015,NYY,DET,9,8,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/new-york-yankees-detroit-tigers-bq6pS4Hq/,-119,-102,-110,104
21-03-2015,DET,NYM,6,4,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-new-york-mets-Ac4xBiPf/,-132,110,-125,119
20-03-2015,DET,NYY,2,11,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-new-york-yankees-r95MqFQe/,-122,101,-119,108
19-03-2015,WSH,DET,0,0,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/washington-nationals-detroit-tigers-ddqBwv4M/,-125,103,-116,110
18-03-2015,PIT,DET,8,7,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/pittsburgh-pirates-detroit-tigers-Oro3u0Z9/,-116,-105,-106,102
17-03-2015,DET,WSH,4,6,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-washington-nationals-t871NRDO/,-124,102,-116,108
16-03-2015,STL,DET,1,0,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/st-louis-cardinals-detroit-tigers-C8i3EWUg/,-119,-101,-112,104
15-03-2015,MIA,DET,4,2,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/miami-marlins-detroit-tigers-hQNaN6dR/,-119,-101,-114,102
11-03-2015,WSH,DET,9,2,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/washington-nationals-detroit-tigers-nkMFTmI7/,-120,-101,-115,102
10-03-2015,PHI,DET,0,6,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/philadelphia-phillies-detroit-tigers-2uqTJClq/,-116,-104,-111,100
06-03-2015,NYM,DET,5,4,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/new-york-mets-detroit-tigers-pOjEo7L2/,-119,-101,-101,106
05-03-2015,DET,ATL,4,6,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-atlanta-braves-drE2XG0h/,-127,105,-116,114
04-03-2015,BAL,DET,4,5,0,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/baltimore-orioles-detroit-tigers-A9A71GGO/,-125,103,-112,110
03-03-2015,DET,BAL,15,2,1,MLB_-_Spring_Training_2015,usa/mlb-spring-training-2015/detroit-tigers-baltimore-orioles-YRLw80Xt/,-122,102,-103,114
05-10-2014,DET,BAL,1,2,0,MLB_2014,usa/mlb-2014/detroit-tigers-baltimore-orioles-SCuIsIUS/,-172,151,-164,156
03-10-2014,BAL,DET,7,6,1,MLB_2014,usa/mlb-2014/baltimore-orioles-detroit-tigers-KnxAqv0G/,-117,103,-110,110
02-10-2014,BAL,DET,12,3,1,MLB_2014,usa/mlb-2014/baltimore-orioles-detroit-tigers-Qmq1o0V3/,104,-119,112,-114
28-09-2014,DET,MIN,3,0,1,MLB_2014,usa/mlb-2014/detroit-tigers-minnesota-twins-z9st382F/,-235,206,-227,215
27-09-2014,DET,MIN,3,12,0,MLB_2014,usa/mlb-2014/detroit-tigers-minnesota-twins-I5pmRxZb/,-172,150,-159,160
26-09-2014,DET,MIN,4,11,0,MLB_2014,usa/mlb-2014/detroit-tigers-minnesota-twins-2FeWa0z0/,-215,186,-204,206
25-09-2014,DET,MIN,4,2,1,MLB_2014,usa/mlb-2014/detroit-tigers-minnesota-twins-jeAdmNjf/,-305,248,-286,260
24-09-2014,DET,CHW,6,1,1,MLB_2014,usa/mlb-2014/detroit-tigers-chicago-white-sox-OShCwDNS/,-111,-103,-105,104
23-09-2014,DET,CHW,4,3,1,MLB_2014,usa/mlb-2014/detroit-tigers-chicago-white-sox-tpyMSe9A/,-313,261,-286,275
22-09-2014,DET,CHW,0,2,0,MLB_2014,usa/mlb-2014/detroit-tigers-chicago-white-sox-vHYi6sdt/,-181,162,-175,179
21-09-2014,KC,DET,5,2,1,MLB_2014,usa/mlb-2014/kansas-city-royals-detroit-tigers-fDSsBWs8/,-105,-109,-102,-102
20-09-2014,KC,DET,2,3,0,MLB_2014,usa/mlb-2014/kansas-city-royals-detroit-tigers-IBwva5XF/,-108,-106,100,-104
19-09-2014,KC,DET,1,10,0,MLB_2014,usa/mlb-2014/kansas-city-royals-detroit-tigers-U7CpkU3i/,-119,104,-115,112
17-09-2014,MIN,DET,8,4,1,MLB_2014,usa/mlb-2014/minnesota-twins-detroit-tigers-GWnDJxE6/,156,-178,164,-169
16-09-2014,MIN,DET,4,3,1,MLB_2014,usa/mlb-2014/minnesota-twins-detroit-tigers-O8dvHqh8/,117,-133,131,-127
15-09-2014,MIN,DET,6,8,0,MLB_2014,usa/mlb-2014/minnesota-twins-detroit-tigers-YTSuuVNg/,160,-182,170,-175
14-09-2014,DET,CLE,6,4,1,MLB_2014,usa/mlb-2014/detroit-tigers-cleveland-guardians-UFMnXtQF/,-142,126,-139,136
13-09-2014,DET,CLE,5,4,1,MLB_2014,usa/mlb-2014/detroit-tigers-cleveland-guardians-48a1LqR3/,-118,103,-109,110
12-09-2014,DET,CLE,7,2,1,MLB_2014,usa/mlb-2014/detroit-tigers-cleveland-guardians-UH7j7g6g/,-157,137,-149,146
10-09-2014,DET,KC,0,3,0,MLB_2014,usa/mlb-2014/detroit-tigers-kansas-city-royals-2DKCQy87/,-113,-101,-110,104
09-09-2014,DET,KC,4,2,1,MLB_2014,usa/mlb-2014/detroit-tigers-kansas-city-royals-Cd5rjtE4/,-169,150,-164,160
08-09-2014,DET,KC,9,5,1,MLB_2014,usa/mlb-2014/detroit-tigers-kansas-city-royals-4doRQPpg/,-134,118,-128,125
07-09-2014,DET,SF,6,1,1,MLB_2014,usa/mlb-2014/detroit-tigers-san-francisco-giants-vekNdoWC/,-125,108,-118,124
06-09-2014,DET,SF,4,5,0,MLB_2014,usa/mlb-2014/detroit-tigers-san-francisco-giants-bcij8KYd/,-143,124,-137,131
05-09-2014,DET,SF,2,8,0,MLB_2014,usa/mlb-2014/detroit-tigers-san-francisco-giants-ANVMXwcp/,-140,122,-135,136
04-09-2014,CLE,DET,4,11,0,MLB_2014,usa/mlb-2014/cleveland-guardians-detroit-tigers-QVV8QMkH/,112,-129,122,-123
03-09-2014,CLE,DET,7,0,1,MLB_2014,usa/mlb-2014/cleveland-guardians-detroit-tigers-AL4TRBUg/,-122,107,-116,114
02-09-2014,CLE,DET,2,4,0,MLB_2014,usa/mlb-2014/cleveland-guardians-detroit-tigers-UwgvNSRR/,-141,125,-135,131
01-09-2014,CLE,DET,1,12,0,MLB_2014,usa/mlb-2014/cleveland-guardians-detroit-tigers-nBBkWsT8/,-118,104,-109,112
31-08-2014,CHW,DET,6,2,1,MLB_2014,usa/mlb-2014/chicago-white-sox-detroit-tigers-M9Fo23ES/,-108,-109,-104,-102
30-08-2014,CHW,DET,4,8,0,MLB_2014,usa/mlb-2014/chicago-white-sox-detroit-tigers-QmPneU0o/,100,-114,102,-110
30-08-2014,CHW,DET,6,3,1,MLB_2014,usa/mlb-2014/chicago-white-sox-detroit-tigers-YkEbrGaC/,-106,-106,-105,100
29-08-2014,CHW,DET,1,7,0,MLB_2014,usa/mlb-2014/chicago-white-sox-detroit-tigers-ltDih7T6/,133,-156,140,-145
28-08-2014,DET,NYY,3,2,1,MLB_2014,usa/mlb-2014/detroit-tigers-new-york-yankees-S6dcrWar/,108,-125,112,-120
27-08-2014,DET,NYY,4,8,0,MLB_2014,usa/mlb-2014/detroit-tigers-new-york-yankees-jBEezZ7L/,-175,150,-167,159
26-08-2014,DET,NYY,5,2,1,MLB_2014,usa/mlb-2014/detroit-tigers-new-york-yankees-tEdoKMHN/,-108,-108,100,100
24-08-2014,MIN,DET,4,13,0,MLB_2014,usa/mlb-2014/minnesota-twins-detroit-tigers-CSoPY6EQ/,124,-142,127,-135
23-08-2014,MIN,DET,6,8,0,MLB_2014,usa/mlb-2014/minnesota-twins-detroit-tigers-2gOiAFoh/,130,-144,133,-143
23-08-2014,MIN,DET,12,4,1,MLB_2014,usa/mlb-2014/minnesota-twins-detroit-tigers-llin0n81/,-114,101,-110,108
22-08-2014,MIN,DET,20,6,1,MLB_2014,usa/mlb-2014/minnesota-twins-detroit-tigers-ALYQfiWL/,-110,-105,-108,102
21-08-2014,TB,DET,1,0,1,MLB_2014,usa/mlb-2014/tampa-bay-rays-detroit-tigers-I7kOvutO/,-115,-101,-112,104
20-08-2014,TB,DET,0,6,0,MLB_2014,usa/mlb-2014/tampa-bay-rays-detroit-tigers-fBPpRLBO/,-130,113,-127,121
19-08-2014,TB,DET,6,8,0,MLB_2014,usa/mlb-2014/tampa-bay-rays-detroit-tigers-ri2JOSkQ/,107,-125,110,-119
17-08-2014,DET,SEA,1,8,0,MLB_2014,usa/mlb-2014/detroit-tigers-seattle-mariners-EBY8Ghzh/,-120,104,-118,108
16-08-2014,DET,SEA,4,2,1,MLB_2014,usa/mlb-2014/detroit-tigers-seattle-mariners-xG2PqC5U/,-102,-113,102,-108
15-08-2014,DET,SEA,2,7,0,MLB_2014,usa/mlb-2014/detroit-tigers-seattle-mariners-zPVlf5NK/,-132,114,-128,120
14-08-2014,DET,PIT,5,2,1,MLB_2014,usa/mlb-2014/detroit-tigers-pittsburgh-pirates-MoyBr8O8/,-192,168,-189,175
13-08-2014,DET,PIT,8,4,1,MLB_2014,usa/mlb-2014/detroit-tigers-pittsburgh-pirates-zVCTVUv3/,-112,-104,-105,106
12-08-2014,PIT,DET,4,2,1,MLB_2014,usa/mlb-2014/pittsburgh-pirates-detroit-tigers-6Xm7IK4n/,-123,105,-118,112
11-08-2014,PIT,DET,11,6,1,MLB_2014,usa/mlb-2014/pittsburgh-pirates-detroit-tigers-thVqGqTs/,-102,-115,102,-111
10-08-2014,TOR,DET,6,5,1,MLB_2014,usa/mlb-2014/toronto-blue-jays-detroit-tigers-j3vtn5E1/,141,-164,144,-156
09-08-2014,TOR,DET,3,2,1,MLB_2014,usa/mlb-2014/toronto-blue-jays-detroit-tigers-xIXPgdGA/,105,-121,110,-114
08-08-2014,TOR,DET,4,5,0,MLB_2014,usa/mlb-2014/toronto-blue-jays-detroit-tigers-n9GVqLnn/,116,-133,123,-125
07-08-2014,NYY,DET,1,0,1,MLB_2014,usa/mlb-2014/new-york-yankees-detroit-tigers-2qZpxXl8/,-118,102,-116,106
06-08-2014,NYY,DET,5,1,1,MLB_2014,usa/mlb-2014/new-york-yankees-detroit-tigers-0KSG1jDe/,-115,-102,-114,104
05-08-2014,NYY,DET,3,4,0,MLB_2014,usa/mlb-2014/new-york-yankees-detroit-tigers-2sttGUAi/,102,-120,110,-115
04-08-2014,NYY,DET,2,1,1,MLB_2014,usa/mlb-2014/new-york-yankees-detroit-tigers-bmbE1Veb/,100,-117,104,-110
03-08-2014,DET,COL,4,0,1,MLB_2014,usa/mlb-2014/detroit-tigers-colorado-rockies-QNFDqczD/,-235,195,-227,206
02-08-2014,DET,COL,11,5,1,MLB_2014,usa/mlb-2014/detroit-tigers-colorado-rockies-0G8IZL6l/,-215,185,-208,200
01-08-2014,DET,COL,4,2,1,MLB_2014,usa/mlb-2014/detroit-tigers-colorado-rockies-lrrA8q8k/,-240,200,-227,210
31-07-2014,DET,CHW,4,7,0,MLB_2014,usa/mlb-2014/detroit-tigers-chicago-white-sox-ncbnGzAb/,-187,160,-175,167
30-07-2014,DET,CHW,7,2,1,MLB_2014,usa/mlb-2014/detroit-tigers-chicago-white-sox-l2SH0eAB/,-256,216,-250,229
29-07-2014,DET,CHW,4,11,0,MLB_2014,usa/mlb-2014/detroit-tigers-chicago-white-sox-4GXgghol/,-165,143,-164,150
27-07-2014,LAA,DET,2,1,1,MLB_2014,usa/mlb-2014/los-angeles-angels-detroit-tigers-h6cr48Xn/,-129,112,-125,119
26-07-2014,LAA,DET,4,0,1,MLB_2014,usa/mlb-2014/los-angeles-angels-detroit-tigers-bqbv5lIt/,-117,101,-115,106
25-07-2014,LAA,DET,2,1,1,MLB_2014,usa/mlb-2014/los-angeles-angels-detroit-tigers-SrnZxWYm/,-129,112,-125,122
24-07-2014,LAA,DET,4,6,0,MLB_2014,usa/mlb-2014/los-angeles-angels-detroit-tigers-EHwDXzc8/,-119,103,-115,112
23-07-2014,ARI,DET,5,11,0,MLB_2014,usa/mlb-2014/arizona-diamondbacks-detroit-tigers-W0nbKQMi/,125,-144,129,-141
22-07-2014,ARI,DET,5,4,1,MLB_2014,usa/mlb-2014/arizona-diamondbacks-detroit-tigers-v7NK67hh/,102,-118,108,-115
21-07-2014,ARI,DET,3,4,0,MLB_2014,usa/mlb-2014/arizona-diamondbacks-detroit-tigers-0hzLymgI/,119,-136,124,-132
