date,team_1,score_1,score_2,team_2,game_url
14/Dec,Brooklyn Nets,104,111,New York Knicks,usa/nba-2017-2018/brooklyn-nets-new-york-knicks-jgRAjX5s/
12/Dec,New York Knicks,113,109,Los Angeles Lakers,usa/nba-2017-2018/new-york-knicks-los-angeles-lakers-hr7ILC67/
04/Dec,Indiana Pacers,115,97,New York Knicks,usa/nba-2017-2018/indiana-pacers-new-york-knicks-OQ3NldI3/
03/Dec,New York Knicks,100,105,Orlando Magic,usa/nba-2017-2018/new-york-knicks-orlando-magic-GKtdYzYM/
27/Nov,New York Knicks,91,103,Portland Trail Blazers,usa/nba-2017-2018/new-york-knicks-portland-trail-blazers-rXFKB13e/
25/Nov,Houston Rockets,117,102,New York Knicks,usa/nba-2017-2018/houston-rockets-new-york-knicks-xWA64pdS/
22/Nov,New York Knicks,108,100,Toronto Raptors,usa/nba-2017-2018/new-york-knicks-toronto-raptors-SfK2ZJDh/
17/Nov,Toronto Raptors,107,84,New York Knicks,usa/nba-2017-2018/toronto-raptors-new-york-knicks-fsMfytqt/
08/Nov,Orlando Magic,112,99,New York Knicks,usa/nba-2017-2018/orlando-magic-new-york-knicks-AXrKI0cd/
05/Nov,New York Knicks,108,101,Indiana Pacers,usa/nba-2017-2018/new-york-knicks-indiana-pacers-MmnkFRj4/
03/Nov,New York Knicks,120,107,Phoenix Suns,usa/nba-2017-2018/new-york-knicks-phoenix-suns-rPmmaF06/
01/Nov,New York Knicks,97,119,Houston Rockets,usa/nba-2017-2018/new-york-knicks-houston-rockets-KMzclbnl/
30/Oct,New York Knicks,116,110,Denver Nuggets,usa/nba-2017-2018/new-york-knicks-denver-nuggets-6uCrp1ud/
27/Oct,New York Knicks,107,86,Brooklyn Nets,usa/nba-2017-2018/new-york-knicks-brooklyn-nets-K20fyXdO/
21/Oct,New York Knicks,107,111,Detroit Pistons,usa/nba-2017-2018/new-york-knicks-detroit-pistons-SnKcNkWd/
19/Oct,Oklahoma City Thunder,105,84,New York Knicks,usa/nba-2017-2018/oklahoma-city-thunder-new-york-knicks-SQlQZuIs/
13/Oct,New York Knicks,103,110,Washington Wizards,usa/nba-2017-2018/new-york-knicks-washington-wizards-lGNneHYL/
09/Oct,New York Knicks,95,117,Houston Rockets,usa/nba-2017-2018/new-york-knicks-houston-rockets-dz6TqkmN/
08/Oct,Brooklyn Nets,117,83,New York Knicks,usa/nba-2017-2018/brooklyn-nets-new-york-knicks-fembQYqh/
06/Oct,Washington Wizards,104,100,New York Knicks,usa/nba-2017-2018/washington-wizards-new-york-knicks-d0X5WK01/
03/Oct,New York Knicks,107,115,Brooklyn Nets,usa/nba-2017-2018/new-york-knicks-brooklyn-nets-hhbXtFVO/
05/Jul,New York Knicks,73,84,Orlando Magic,usa/nba-orlando-summer-league/new-york-knicks-orlando-magic-McgON67A/
03/Jul,Oklahoma City Thunder,99,87,New York Knicks,usa/nba-orlando-summer-league/oklahoma-city-thunder-new-york-knicks-MqEk97hH/
02/Jul,Detroit Pistons,103,78,New York Knicks,usa/nba-orlando-summer-league/detroit-pistons-new-york-knicks-WfLxC98b/
01/Jul,Dallas Mavericks,80,75,New York Knicks,usa/nba-orlando-summer-league/dallas-mavericks-new-york-knicks-bsNUDVwn/
12/Apr,New York Knicks,114,113,Philadelphia 76ers,usa/nba-2016-2017/new-york-knicks-philadelphia-76ers-fwQeCYym/
09/Apr,New York Knicks,97,110,Toronto Raptors,usa/nba-2016-2017/new-york-knicks-toronto-raptors-bBO20m0k/
06/Apr,New York Knicks,103,106,Washington Wizards,usa/nba-2016-2017/new-york-knicks-washington-wizards-4nKpuUAc/
27/Mar,New York Knicks,109,95,Detroit Pistons,usa/nba-2016-2017/new-york-knicks-detroit-pistons-8lESv6bO/
25/Mar,San Antonio Spurs,106,98,New York Knicks,usa/nba-2016-2017/san-antonio-spurs-new-york-knicks-2VZqUlp6/
23/Mar,Portland Trail Blazers,110,95,New York Knicks,usa/nba-2016-2017/portland-trail-blazers-new-york-knicks-be8jKDGs/
16/Mar,New York Knicks,110,121,Brooklyn Nets,usa/nba-2016-2017/new-york-knicks-brooklyn-nets-hMc6zW5n/
14/Mar,New York Knicks,87,81,Indiana Pacers,usa/nba-2016-2017/new-york-knicks-indiana-pacers-rVx7YlJ1/
12/Mar,Brooklyn Nets,120,112,New York Knicks,usa/nba-2016-2017/brooklyn-nets-new-york-knicks-U3YlSDdS/
11/Mar,Detroit Pistons,112,92,New York Knicks,usa/nba-2016-2017/detroit-pistons-new-york-knicks-lhB5aOMO/
06/Mar,Orlando Magic,105,113,New York Knicks,usa/nba-2016-2017/orlando-magic-new-york-knicks-EDPDp1B3/
05/Mar,New York Knicks,105,112,Golden State Warriors,usa/nba-2016-2017/new-york-knicks-golden-state-warriors-dEjBWDVN/
03/Mar,Philadelphia 76ers,105,102,New York Knicks,usa/nba-2016-2017/philadelphia-76ers-new-york-knicks-rZ440kkS/
01/Mar,Orlando Magic,90,101,New York Knicks,usa/nba-2016-2017/orlando-magic-new-york-knicks-6BG4ZLpC/
27/Feb,New York Knicks,91,92,Toronto Raptors,usa/nba-2016-2017/new-york-knicks-toronto-raptors-C6nJEfSS/
25/Feb,New York Knicks,110,109,Philadelphia 76ers,usa/nba-2016-2017/new-york-knicks-philadelphia-76ers-4Q6TK1EL/
15/Feb,Oklahoma City Thunder,116,105,New York Knicks,usa/nba-2016-2017/oklahoma-city-thunder-new-york-knicks-0fN1Agfn/
12/Feb,New York Knicks,94,90,San Antonio Spurs,usa/nba-2016-2017/new-york-knicks-san-antonio-spurs-OYuOTyd0/
10/Feb,New York Knicks,123,131,Denver Nuggets,usa/nba-2016-2017/new-york-knicks-denver-nuggets-MT56Foyj/
06/Feb,New York Knicks,107,121,Los Angeles Lakers,usa/nba-2016-2017/new-york-knicks-los-angeles-lakers-K6Ag1eGu/
01/Feb,Brooklyn Nets,90,95,New York Knicks,usa/nba-2016-2017/brooklyn-nets-new-york-knicks-j9HpXyjO/
31/Jan,Washington Wizards,117,101,New York Knicks,usa/nba-2016-2017/washington-wizards-new-york-knicks-84AOwM6t/
25/Jan,Dallas Mavericks,103,95,New York Knicks,usa/nba-2016-2017/dallas-mavericks-new-york-knicks-QmX4dXHq/
23/Jan,Indiana Pacers,103,109,New York Knicks,usa/nba-2016-2017/indiana-pacers-new-york-knicks-2TYx9kph/
21/Jan,New York Knicks,105,107,Phoenix Suns,usa/nba-2016-2017/new-york-knicks-phoenix-suns-CvrZvBVB/
19/Jan,New York Knicks,110,113,Washington Wizards,usa/nba-2016-2017/new-york-knicks-washington-wizards-WnXEmrIE/
15/Jan,Toronto Raptors,116,101,New York Knicks,usa/nba-2016-2017/toronto-raptors-new-york-knicks-8Q33eoYr/
11/Jan,Philadelphia 76ers,98,97,New York Knicks,usa/nba-2016-2017/philadelphia-76ers-new-york-knicks-0S6Wtw06/
09/Jan,New York Knicks,96,110,New Orleans Pelicans,usa/nba-2016-2017/new-york-knicks-new-orleans-pelicans-YyVfoXZf/
07/Jan,Indiana Pacers,123,109,New York Knicks,usa/nba-2016-2017/indiana-pacers-new-york-knicks-pfoXhOy4/
02/Jan,New York Knicks,103,115,Orlando Magic,usa/nba-2016-2017/new-york-knicks-orlando-magic-jcip80tF/
31/Dec,Houston Rockets,129,122,New York Knicks,usa/nba-2016-2017/houston-rockets-new-york-knicks-Qg8MhLtS/
30/Dec,New Orleans Pelicans,104,92,New York Knicks,usa/nba-2016-2017/new-orleans-pelicans-new-york-knicks-Yaqqu2CS/
22/Dec,New York Knicks,106,95,Orlando Magic,usa/nba-2016-2017/new-york-knicks-orlando-magic-jJGxFgy9/
