date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
22-07-2011,MIA,NYM,6,7,0,MLB_2011,usa/mlb-2011/miami-marlins-new-york-mets-MNLFpuz1/,-128,108,-119,112
21-07-2011,MIA,SD,3,5,0,MLB_2011,usa/mlb-2011/miami-marlins-san-diego-padres-6yiXuQrF/,-174,149,-167,161
20-07-2011,MIA,SD,3,14,0,MLB_2011,usa/mlb-2011/miami-marlins-san-diego-padres-jNLZSna9/,-171,147,-161,159
19-07-2011,MIA,SD,0,4,0,MLB_2011,usa/mlb-2011/miami-marlins-san-diego-padres-nkuzbe9O/,-162,139,-154,150
18-07-2011,NYM,MIA,1,4,0,MLB_2011,usa/mlb-2011/new-york-mets-miami-marlins-nmnop3r2/,-130,110,-118,114
17-07-2011,CHC,MIA,5,7,0,MLB_2011,usa/mlb-2011/chicago-cubs-miami-marlins-xCRiC2G9/,-106,-112,102,-108
16-07-2011,CHC,MIA,3,13,0,MLB_2011,usa/mlb-2011/chicago-cubs-miami-marlins-nPs3POuo/,-115,-102,-108,102
15-07-2011,CHC,MIA,2,1,1,MLB_2011,usa/mlb-2011/chicago-cubs-miami-marlins-IDFEK9la/,-111,-107,100,100
14-07-2011,CHC,MIA,3,6,0,MLB_2011,usa/mlb-2011/chicago-cubs-miami-marlins-MR12HfcD/,-115,-104,-106,102
10-07-2011,MIA,HOU,5,4,1,MLB_2011,usa/mlb-2011/miami-marlins-houston-astros-Cppl8aEr/,-140,119,-135,131
09-07-2011,MIA,HOU,6,1,1,MLB_2011,usa/mlb-2011/miami-marlins-houston-astros-Amxbg0ak/,-182,156,-167,175
08-07-2011,MIA,HOU,6,3,1,MLB_2011,usa/mlb-2011/miami-marlins-houston-astros-nyYo0NkI/,-160,137,-154,147
07-07-2011,MIA,HOU,5,0,1,MLB_2011,usa/mlb-2011/miami-marlins-houston-astros-AertinMg/,-145,124,-139,131
06-07-2011,MIA,PHI,7,6,1,MLB_2011,usa/mlb-2011/miami-marlins-philadelphia-phillies-CINwukNs/,-136,115,-130,125
05-07-2011,MIA,PHI,2,14,0,MLB_2011,usa/mlb-2011/miami-marlins-philadelphia-phillies-CdQOVKvA/,134,-157,140,-143
04-07-2011,MIA,PHI,0,1,0,MLB_2011,usa/mlb-2011/miami-marlins-philadelphia-phillies-IBvSMqBo/,-113,-105,-110,104
03-07-2011,TEX,MIA,4,6,0,MLB_2011,usa/mlb-2011/texas-rangers-miami-marlins-UHWy8pdh/,-208,176,-192,185
02-07-2011,TEX,MIA,5,9,0,MLB_2011,usa/mlb-2011/texas-rangers-miami-marlins-67sislrm/,-167,146,-159,149
01-07-2011,TEX,MIA,15,5,1,MLB_2011,usa/mlb-2011/texas-rangers-miami-marlins-KfeTr9Bq/,-164,140,-154,146
30-06-2011,OAK,MIA,4,5,0,MLB_2011,usa/mlb-2011/oakland-athletics-miami-marlins-zPQAzCJM/,-164,140,-154,144
29-06-2011,OAK,MIA,0,3,0,MLB_2011,usa/mlb-2011/oakland-athletics-miami-marlins-YRIKLC4T/,-120,101,-111,104
28-06-2011,OAK,MIA,1,0,1,MLB_2011,usa/mlb-2011/oakland-athletics-miami-marlins-I3Ok8MqJ/,-174,148,-164,156
26-06-2011,MIA,SEA,1,2,0,MLB_2011,usa/mlb-2011/miami-marlins-seattle-mariners-bZifhjvF/,-126,106,-120,116
25-06-2011,MIA,SEA,4,2,1,MLB_2011,usa/mlb-2011/miami-marlins-seattle-mariners-llbLut4b/,116,-136,122,-128
24-06-2011,MIA,SEA,1,5,0,MLB_2011,usa/mlb-2011/miami-marlins-seattle-mariners-IBbEUOkt/,137,-159,144,-152
22-06-2011,MIA,LAA,5,6,0,MLB_2011,usa/mlb-2011/miami-marlins-los-angeles-angels-0bMZIwQs/,-107,-107,-103,-103
21-06-2011,MIA,LAA,5,2,1,MLB_2011,usa/mlb-2011/miami-marlins-los-angeles-angels-ImfxwA5A/,112,-131,114,-122
20-06-2011,MIA,LAA,1,2,0,MLB_2011,usa/mlb-2011/miami-marlins-los-angeles-angels-pnIQA9sA/,108,-128,117,-123
19-06-2011,TB,MIA,2,1,1,MLB_2011,usa/mlb-2011/tampa-bay-rays-miami-marlins-4phTcWc4/,-202,171,-200,190
18-06-2011,TB,MIA,7,4,1,MLB_2011,usa/mlb-2011/tampa-bay-rays-miami-marlins-rei6jOpK/,-148,126,-141,135
17-06-2011,TB,MIA,5,1,1,MLB_2011,usa/mlb-2011/tampa-bay-rays-miami-marlins-lU7Lvo1E/,-147,127,-141,133
16-06-2011,PHI,MIA,3,0,1,MLB_2011,usa/mlb-2011/philadelphia-phillies-miami-marlins-lfuR5Qfk/,-243,201,-233,220
15-06-2011,PHI,MIA,5,4,1,MLB_2011,usa/mlb-2011/philadelphia-phillies-miami-marlins-CUDuRjCf/,-202,172,-196,183
15-06-2011,PHI,MIA,8,1,1,MLB_2011,usa/mlb-2011/philadelphia-phillies-miami-marlins-U5OzSWdl/,-162,138,-152,143
14-06-2011,PHI,MIA,9,1,1,MLB_2011,usa/mlb-2011/philadelphia-phillies-miami-marlins-ARlmMwK5/,-216,181,-200,195
13-06-2011,MIA,ARI,9,12,0,MLB_2011,usa/mlb-2011/miami-marlins-arizona-diamondbacks-bPEgHaU0/,-140,120,-135,133
